player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
N. Ekwu,F,19,0,2,0,0,3,4,4,5,9,0,1,1,1,1,3,TRUE,2016-01-12,Dayton,A
O. Michelsen,F,19,0,3,0,1,0,0,1,2,3,2,0,0,0,1,0,TRUE,2016-01-12,Dayton,A
P. Aldridge,F,35,5,8,2,4,3,3,3,7,10,2,0,1,1,4,15,TRUE,2016-01-12,Dayton,A
J. Gibbs,G,38,9,23,7,17,6,8,1,0,1,6,0,0,4,1,31,TRUE,2016-01-12,Dayton,A
B. Sullivan,G,36,3,12,1,9,1,1,1,3,4,4,0,0,1,1,8,TRUE,2016-01-12,Dayton,A
A. McAuliffe,F,15,1,2,0,0,0,0,1,0,1,0,0,0,0,1,2,FALSE,2016-01-12,Dayton,A
R. Reigel,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,FALSE,2016-01-12,Dayton,A
J. Watkins,G,26,4,6,3,5,0,0,0,3,3,2,0,0,1,3,11,FALSE,2016-01-12,Dayton,A
J. Barham,G,12,2,5,0,0,0,1,1,0,1,1,0,0,0,3,4,FALSE,2016-01-12,Dayton,A
TEAM,NA,NA,24,61,13,36,13,17,12,23,35,17,1,2,9,17,74,FALSE,2016-01-12,Dayton,A
