player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
M. Zangari,F,26,2,2,0,0,1,3,2,2,4,1,3,0,2,4,5,TRUE,2016-02-21,SMU,A
K. Barkley,G,36,4,7,4,5,3,4,0,8,8,4,1,0,2,2,15,TRUE,2016-02-21,SMU,A
C. White,G,37,5,12,4,9,0,0,0,1,1,4,0,0,2,0,14,TRUE,2016-02-21,SMU,A
P. Williams,G,32,8,13,4,5,0,2,1,0,1,3,2,0,1,2,20,TRUE,2016-02-21,SMU,A
B.J. Tyson,G,26,1,8,0,4,0,0,0,0,0,6,1,0,1,0,2,TRUE,2016-02-21,SMU,A
G. Bryant,F,5,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,FALSE,2016-02-21,SMU,A
M. Nzege,F,9,0,0,0,0,0,0,0,1,1,0,1,0,2,1,0,FALSE,2016-02-21,SMU,A
C. Williams,F,12,3,4,0,0,0,0,0,1,1,0,0,1,2,3,6,FALSE,2016-02-21,SMU,A
L. Tejada,G,14,0,1,0,1,1,4,0,0,0,1,0,0,0,2,1,FALSE,2016-02-21,SMU,A
J. Obasohan,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2016-02-21,SMU,A
D. Bost,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2016-02-21,SMU,A
P. Robbins,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2016-02-21,SMU,A
C. Foster,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2016-02-21,SMU,A
TEAM,NA,NA,23,48,12,24,5,13,3,14,17,19,8,1,12,15,63,FALSE,2016-02-21,SMU,A
