player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
M. Holloway Jr.,F,28,5,7,0,0,1,2,1,1,2,0,0,3,1,1,11,TRUE,2016-02-13,Robert Morris,H
E. Potts Jr.,F,29,5,6,0,0,0,1,0,1,1,0,0,0,1,4,10,TRUE,2016-02-13,Robert Morris,H
M. Townes,G,30,5,9,0,1,1,2,0,3,3,2,2,0,2,0,11,TRUE,2016-02-13,Robert Morris,H
S. Jiggetts,G,27,0,6,0,2,1,2,0,4,4,4,1,0,3,3,1,TRUE,2016-02-13,Robert Morris,H
D. Anderson,G,35,6,13,3,6,1,1,0,2,2,5,5,1,4,3,16,TRUE,2016-02-13,Robert Morris,H
D. Rhoden,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2016-02-13,Robert Morris,H
M. Miller,C,21,5,8,0,0,1,2,4,3,7,0,0,1,1,1,11,FALSE,2016-02-13,Robert Morris,H
D. Curry,G,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,FALSE,2016-02-13,Robert Morris,H
D. Edge,G,18,3,4,1,2,0,0,0,0,0,3,0,0,2,1,7,FALSE,2016-02-13,Robert Morris,H
G. Nehme,G,10,1,3,1,3,0,0,0,2,2,0,0,0,1,2,3,FALSE,2016-02-13,Robert Morris,H
TEAM,NA,NA,30,56,5,14,5,10,5,20,25,14,8,5,16,15,70,FALSE,2016-02-13,Robert Morris,H
