player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
N. Jacobs,F,21,3,3,0,0,0,0,0,3,3,0,0,0,1,3,6,TRUE,2016-02-17,Florida State,A
Q. Stephens,F,35,4,8,3,6,0,0,2,5,7,0,0,1,3,1,11,TRUE,2016-02-17,Florida State,A
C. Mitchell,F,10,2,4,0,0,0,0,2,1,3,0,0,0,2,4,4,TRUE,2016-02-17,Florida State,A
M. Georges-Hunt,G,38,6,10,3,4,12,16,1,1,2,4,0,1,1,3,27,TRUE,2016-02-17,Florida State,A
A. Smith,G,35,7,15,3,10,8,11,1,2,3,3,1,0,4,0,25,TRUE,2016-02-17,Florida State,A
J. White,F,21,3,4,0,0,0,0,4,2,6,2,0,1,1,4,6,FALSE,2016-02-17,Florida State,A
B. Lammers,C,20,3,3,0,0,0,1,2,4,6,1,0,1,0,5,6,FALSE,2016-02-17,Florida State,A
T. Jackson,G,9,0,4,0,1,0,0,0,1,1,4,0,0,1,0,0,FALSE,2016-02-17,Florida State,A
T. Jorgenson,G,11,0,1,0,0,1,2,0,0,0,2,0,0,1,0,1,FALSE,2016-02-17,Florida State,A
TEAM,NA,NA,28,52,9,21,21,30,12,20,32,16,1,4,14,20,86,FALSE,2016-02-17,Florida State,A
