player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
D. Pollard,F,38,7,14,0,0,6,8,3,1,4,2,5,0,0,3,20,TRUE,2015-12-30,South Florida,A
K. Meyer,C,10,2,2,0,0,0,0,0,3,3,0,1,0,1,4,4,TRUE,2015-12-30,South Florida,A
D. Dotson,G,34,5,8,5,8,2,2,0,6,6,2,1,0,1,3,17,TRUE,2015-12-30,South Florida,A
R. Gray,G,35,5,14,1,5,8,13,0,0,0,2,1,0,0,2,19,TRUE,2015-12-30,South Florida,A
G. Robinson Jr.,G,17,1,4,0,0,0,0,1,0,1,2,3,0,1,1,2,TRUE,2015-12-30,South Florida,A
X. Dupree,F,15,0,1,0,0,0,0,0,2,2,1,1,1,0,4,0,FALSE,2015-12-30,South Florida,A
D. Knowles,F,16,1,4,0,0,5,8,0,2,2,0,1,1,2,2,7,FALSE,2015-12-30,South Florida,A
L. Barnes,G,10,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,FALSE,2015-12-30,South Florida,A
E. Weary Jr.,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2015-12-30,South Florida,A
R. Johnson,G,24,1,5,0,1,2,4,0,0,0,6,0,0,1,2,4,FALSE,2015-12-30,South Florida,A
W. VanBeck,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2015-12-30,South Florida,A
TEAM,NA,NA,22,52,6,14,23,35,7,16,23,16,13,2,6,21,73,FALSE,2015-12-30,South Florida,A
