player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
S. Long,F,35,9,16,3,6,4,10,6,8,14,0,1,3,2,3,25,TRUE,2015-11-20,Alabama,A
B. Washington,F,13,1,1,0,0,0,0,2,0,2,0,0,0,0,0,2,TRUE,2015-11-20,Alabama,A
H. Register,G,23,3,12,2,10,0,0,0,4,4,0,2,0,0,2,8,TRUE,2015-11-20,Alabama,A
J. Wright,G,19,4,5,2,2,1,2,0,2,2,1,0,0,5,5,11,TRUE,2015-11-20,Alabama,A
J. Stove,G,23,2,6,1,3,4,4,0,2,2,2,0,1,1,4,9,TRUE,2015-11-20,Alabama,A
D. Walker,F,9,0,2,0,0,2,2,1,1,2,0,0,0,0,1,2,FALSE,2015-11-20,Alabama,A
J. Hedgeman,G,25,2,7,1,3,5,10,4,4,8,2,1,0,1,1,10,FALSE,2015-11-20,Alabama,A
T. Wooten,G,16,2,4,1,2,4,6,1,1,2,1,0,1,1,2,9,FALSE,2015-11-20,Alabama,A
T. Williams,G,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,FALSE,2015-11-20,Alabama,A
K. Shepherd,G,22,5,7,1,1,6,6,0,3,3,2,2,0,5,3,17,FALSE,2015-11-20,Alabama,A
S. Wronkoski,G,8,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,FALSE,2015-11-20,Alabama,A
TEAM,NA,NA,28,61,11,27,26,40,16,27,43,9,6,5,15,24,93,FALSE,2015-11-20,Alabama,A
