player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
Z. Smith,F,31,3,7,1,3,6,7,1,5,6,2,2,2,3,1,13,TRUE,2015-12-16,South Dakota State,H
N. Odiase,C,25,3,7,0,0,4,4,3,1,4,3,2,1,1,2,10,TRUE,2015-12-16,South Dakota State,H
D. Williams,G,31,4,10,0,2,2,2,0,3,3,0,1,1,1,2,10,TRUE,2015-12-16,South Dakota State,H
T. Gotcher,G,26,6,11,3,6,2,2,0,5,5,1,2,1,2,2,17,TRUE,2015-12-16,South Dakota State,H
K. Evans,G,25,2,7,0,1,2,2,0,0,0,4,2,1,1,1,6,TRUE,2015-12-16,South Dakota State,H
A. Ross,F,16,3,4,1,1,0,0,2,1,3,0,0,1,1,2,7,FALSE,2015-12-16,South Dakota State,H
M. Temple,F,6,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,FALSE,2015-12-16,South Dakota State,H
J. Gray,G,17,2,5,0,1,3,4,0,0,0,0,1,1,0,2,7,FALSE,2015-12-16,South Dakota State,H
D. Thomas,G,20,3,3,0,0,1,3,0,4,4,1,0,0,0,1,7,FALSE,2015-12-16,South Dakota State,H
J. Jackson,G,3,1,2,0,0,0,0,0,1,1,0,0,0,0,1,2,FALSE,2015-12-16,South Dakota State,H
TEAM,NA,NA,27,57,5,14,20,24,7,22,29,11,10,8,9,16,79,FALSE,2015-12-16,South Dakota State,H
