player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
A.J. Davis,F,39,6,11,2,4,6,6,5,4,9,4,1,0,5,1,20,TRUE,2016-03-10,Tulane,N
T. Fall,C,24,2,4,0,0,4,6,3,9,12,1,1,3,2,4,8,TRUE,2016-03-10,Tulane,N
D. Walker,G,37,2,5,0,2,3,4,1,5,6,4,1,0,3,3,7,TRUE,2016-03-10,Tulane,N
M. Williams Jr.,G,24,4,10,2,6,0,0,1,1,2,0,1,0,4,2,10,TRUE,2016-03-10,Tulane,N
A. Henriquez,G,34,4,11,3,9,4,4,2,2,4,3,0,0,2,2,15,TRUE,2016-03-10,Tulane,N
S. Davis,F,14,0,4,0,3,0,4,3,3,6,0,0,1,1,0,0,FALSE,2016-03-10,Tulane,N
S. Blair,F,13,1,2,0,0,1,2,0,4,4,0,0,0,1,2,3,FALSE,2016-03-10,Tulane,N
J. McBride,C,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE,2016-03-10,Tulane,N
T. Efianayi,G,4,0,2,0,1,0,0,0,1,1,0,0,0,1,1,0,FALSE,2016-03-10,Tulane,N
C. McSpadden,G,8,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,FALSE,2016-03-10,Tulane,N
TEAM,NA,NA,19,53,7,26,18,26,16,31,47,12,4,4,21,17,63,FALSE,2016-03-10,Tulane,N
