player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
D. Wiggins,F,26,1,5,0,0,5,12,5,7,12,0,0,1,2,1,7,TRUE,2017-01-28,Ohio,H
W. Alcegaire,G,28,2,14,0,4,0,0,2,3,5,3,1,0,0,3,4,TRUE,2017-01-28,Ohio,H
R. Caldwell,G,31,3,12,1,7,6,7,1,3,4,0,1,0,1,2,13,TRUE,2017-01-28,Ohio,H
D. Frye,G,36,9,17,3,10,3,4,0,6,6,1,1,0,0,0,24,TRUE,2017-01-28,Ohio,H
M. Hluchoweckyj,G,29,3,6,2,5,1,2,2,7,9,1,0,1,1,3,9,TRUE,2017-01-28,Ohio,H
H. Folkertsma,G,5,1,1,0,0,4,4,1,0,1,1,0,0,1,1,6,FALSE,2017-01-28,Ohio,H
T. Redding,G,5,2,3,1,2,0,0,0,0,0,0,0,0,0,0,5,FALSE,2017-01-28,Ohio,H
E. Good,G,11,1,2,0,1,0,0,1,0,1,0,0,0,2,1,2,FALSE,2017-01-28,Ohio,H
M. Fox,G,29,0,6,0,5,2,2,1,2,3,3,2,0,0,2,2,FALSE,2017-01-28,Ohio,H
TEAM,NA,NA,22,66,7,34,21,31,13,29,42,9,5,2,7,13,72,FALSE,2017-01-28,Ohio,H
