player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
Z. Thomas,F,33,4,13,1,4,7,8,1,7,8,7,3,4,3,4,16,TRUE,2016-12-19,Mt. St. Mary's,H
N. Foulland,C,31,6,12,0,0,2,7,4,5,9,2,1,5,3,2,14,TRUE,2016-12-19,Mt. St. Mary's,H
K. Mackenzie,G,33,5,8,1,2,5,7,0,3,3,4,2,0,3,2,16,TRUE,2016-12-19,Mt. St. Mary's,H
S. Brown,G,33,4,5,1,1,2,4,0,4,4,4,1,0,3,1,11,TRUE,2016-12-19,Mt. St. Mary's,H
N. Jones,G,20,2,3,2,2,0,0,2,3,5,0,1,0,1,3,6,TRUE,2016-12-19,Mt. St. Mary's,H
N. Sestina,F,7,4,4,0,0,0,0,1,1,2,0,0,0,1,2,8,FALSE,2016-12-19,Mt. St. Mary's,H
D.J. MacLeay,F,2,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,FALSE,2016-12-19,Mt. St. Mary's,H
B. Moore,F,7,1,2,0,1,0,0,0,0,0,0,0,0,2,0,2,FALSE,2016-12-19,Mt. St. Mary's,H
B. Robertson,G,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,2016-12-19,Mt. St. Mary's,H
M. O'Reilly,G,20,2,5,2,4,0,0,0,1,1,0,0,0,0,2,6,FALSE,2016-12-19,Mt. St. Mary's,H
A. Toomer,G,10,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,FALSE,2016-12-19,Mt. St. Mary's,H
TEAM,NA,NA,29,54,7,15,16,26,9,27,36,17,9,9,17,18,81,FALSE,2016-12-19,Mt. St. Mary's,H
