player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
L. Meyer,F,15,2,5,1,4,0,0,2,1,3,0,1,1,1,4,5,TRUE,2017-01-17,Ball State,A
C. Williams,F,25,1,6,0,3,2,4,2,4,6,0,0,0,1,3,4,TRUE,2017-01-17,Ball State,A
M. Keene,G,39,9,25,8,17,3,5,1,1,2,7,2,0,5,2,29,TRUE,2017-01-17,Ball State,A
J. Kozinski,G,30,2,5,1,4,0,0,0,3,3,0,3,0,0,4,5,TRUE,2017-01-17,Ball State,A
B. Rayson,G,40,4,18,3,7,9,10,1,5,6,4,2,0,1,3,20,TRUE,2017-01-17,Ball State,A
D. DiLeo,F,30,5,7,4,5,0,1,3,2,5,2,0,0,2,2,14,FALSE,2017-01-17,Ball State,A
B. Hibbitts,F,3,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,FALSE,2017-01-17,Ball State,A
D. Scott,F,13,0,0,0,0,1,3,2,2,4,0,0,2,1,3,1,FALSE,2017-01-17,Ball State,A
C. Israelson,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2017-01-17,Ball State,A
J. Joubert,G,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,FALSE,2017-01-17,Ball State,A
M. Smith,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2017-01-17,Ball State,A
K. McKay,G,2,1,1,0,0,2,2,1,0,1,0,1,0,0,1,4,FALSE,2017-01-17,Ball State,A
TEAM,NA,NA,24,68,17,41,18,27,14,20,34,13,9,3,11,22,83,FALSE,2017-01-17,Ball State,A
