player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
P. Szpir,F,26,1,1,0,0,0,2,1,4,5,0,1,0,0,3,2,TRUE,2016-11-26,Notre Dame,A
G. Burns,G,24,1,4,1,2,2,4,0,0,0,4,1,0,2,1,5,TRUE,2016-11-26,Notre Dame,A
F. Sims Jr.,G,27,4,12,1,4,2,3,0,2,2,1,0,0,1,0,11,TRUE,2016-11-26,Notre Dame,A
C. Owens V,G,24,3,9,0,1,0,0,1,1,2,1,0,0,1,0,6,TRUE,2016-11-26,Notre Dame,A
T. Palmer,G,32,5,11,3,6,2,4,2,7,9,2,2,0,4,4,15,TRUE,2016-11-26,Notre Dame,A
D. Simmons,F,13,2,4,0,1,0,0,1,1,2,0,0,0,0,1,4,FALSE,2016-11-26,Notre Dame,A
G. Hunt,G,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,3,FALSE,2016-11-26,Notre Dame,A
D. Dixon,G,16,2,2,1,1,0,0,1,3,4,0,0,0,2,2,5,FALSE,2016-11-26,Notre Dame,A
A. Eaves,G,12,1,7,0,3,0,0,1,0,1,0,0,0,0,0,2,FALSE,2016-11-26,Notre Dame,A
A. Dubovitskiy,G,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,2016-11-26,Notre Dame,A
B. Greene Jr.,G,12,1,1,1,1,0,0,0,0,0,1,1,0,1,0,3,FALSE,2016-11-26,Notre Dame,A
J. Batson,G,11,1,4,1,2,1,3,1,1,2,1,0,0,2,0,4,FALSE,2016-11-26,Notre Dame,A
TEAM,NA,NA,22,57,9,26,7,16,10,20,30,10,5,0,15,12,60,FALSE,2016-11-26,Notre Dame,A
