player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
E. McCree,F,28,10,14,4,5,9,11,3,15,18,2,0,3,2,0,33,TRUE,2016-12-03,SE Louisiana,H
O. Sherman,F,18,4,7,0,1,4,6,1,2,3,1,0,0,3,2,12,TRUE,2016-12-03,SE Louisiana,H
D. Jean,G,24,1,2,1,2,2,2,0,1,1,2,0,0,2,4,5,TRUE,2016-12-03,SE Louisiana,H
J. Boykins,G,28,2,8,0,5,4,5,0,4,4,2,0,1,1,2,8,TRUE,2016-12-03,SE Louisiana,H
D. Bracey,G,33,6,10,1,4,1,1,1,0,1,8,2,0,0,1,14,TRUE,2016-12-03,SE Louisiana,H
O. Powell,F,11,0,0,0,0,0,2,0,5,5,0,0,0,0,1,0,FALSE,2016-12-03,SE Louisiana,H
J. Washington,F,27,1,2,0,1,1,2,1,1,2,2,0,4,2,2,3,FALSE,2016-12-03,SE Louisiana,H
J. White,C,18,4,5,0,0,1,2,1,4,5,2,0,5,0,2,9,FALSE,2016-12-03,SE Louisiana,H
L. Walker,G,3,1,3,0,0,0,0,0,1,1,0,0,0,0,0,2,FALSE,2016-12-03,SE Louisiana,H
D. Robinson,G,6,1,3,0,1,0,0,0,0,0,0,1,0,0,0,2,FALSE,2016-12-03,SE Louisiana,H
J. Taylor,G,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,2016-12-03,SE Louisiana,H
TEAM,NA,NA,30,54,6,19,22,31,7,34,41,20,3,13,10,14,88,FALSE,2016-12-03,SE Louisiana,H
