player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
C. Weisbrod,F,29,6,12,0,0,4,6,1,3,4,1,1,0,2,3,16,TRUE,2017-02-22,Northwestern State,A
J. Nzeakor,F,23,2,2,0,0,2,3,1,3,4,1,1,0,3,1,6,TRUE,2017-02-22,Northwestern State,A
J. Frenchwood,G,26,4,9,1,4,2,3,0,2,2,4,1,0,2,1,11,TRUE,2017-02-22,Northwestern State,A
Z. Bosha,G,21,3,4,0,0,3,4,2,7,9,2,1,1,0,3,9,TRUE,2017-02-22,Northwestern State,A
L. Davis,G,20,3,5,1,3,2,3,0,2,2,0,0,0,2,5,9,TRUE,2017-02-22,Northwestern State,A
C. Albright,F,14,1,5,0,1,0,0,0,1,1,2,0,0,1,2,2,FALSE,2017-02-22,Northwestern State,A
D. Chatman,F,12,4,6,0,0,0,1,1,1,2,1,1,0,0,2,8,FALSE,2017-02-22,Northwestern State,A
T. Hubby,F,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2017-02-22,Northwestern State,A
C. McGee,G,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,2017-02-22,Northwestern State,A
T. Noel,G,12,0,3,0,1,2,2,1,0,1,2,1,0,1,1,2,FALSE,2017-02-22,Northwestern State,A
T.J. Atwood,G,2,0,0,0,0,2,2,0,1,1,0,0,0,0,0,2,FALSE,2017-02-22,Northwestern State,A
N. Garth,G,19,6,9,5,8,0,0,0,2,2,3,2,0,0,2,17,FALSE,2017-02-22,Northwestern State,A
M. Owens,G,18,2,5,2,4,0,0,1,5,6,1,0,0,0,3,6,FALSE,2017-02-22,Northwestern State,A
TEAM,NA,NA,31,61,9,22,17,24,10,29,39,17,8,1,11,23,88,FALSE,2017-02-22,Northwestern State,A
