player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
S. Hauser,F,34,3,10,2,6,0,0,0,6,6,2,0,1,1,2,8,TRUE,2017-01-28,Providence,H
L. Fischer,C,25,5,7,0,0,3,5,4,6,10,3,0,2,0,5,13,TRUE,2017-01-28,Providence,H
M. Howard,G,19,5,11,3,6,0,0,0,2,2,1,0,0,2,2,13,TRUE,2017-01-28,Providence,H
J. Johnson,G,29,3,7,0,1,4,5,0,3,3,3,1,0,1,3,10,TRUE,2017-01-28,Providence,H
H. Cheatham,G,22,1,2,0,0,0,0,0,0,0,1,0,0,2,2,2,TRUE,2017-01-28,Providence,H
M. Heldt,C,7,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,FALSE,2017-01-28,Providence,H
K. Reinhardt,G,29,3,11,2,6,1,2,1,3,4,2,0,0,0,3,9,FALSE,2017-01-28,Providence,H
D. Wilson,G,12,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,FALSE,2017-01-28,Providence,H
A. Rowsey,G,23,5,8,3,5,10,10,0,4,4,2,1,0,2,0,23,FALSE,2017-01-28,Providence,H
TEAM,NA,NA,25,58,10,25,18,23,7,28,35,14,2,3,8,23,78,FALSE,2017-01-28,Providence,H
