player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
S. Jelks,F,20,1,4,0,0,3,4,4,1,5,4,0,0,1,1,5,TRUE,2016-12-07,Oglethorpe,H
D. Ringer,F,19,3,4,0,0,0,0,4,4,8,0,0,0,0,0,6,TRUE,2016-12-07,Oglethorpe,H
D. Rivers,G,26,11,16,5,9,3,3,0,2,2,3,0,0,0,0,30,TRUE,2016-12-07,Oglethorpe,H
J. Strawberry,G,17,1,3,0,1,2,2,1,4,5,5,0,0,1,0,4,TRUE,2016-12-07,Oglethorpe,H
J. Stowe,G,13,1,2,1,2,0,0,1,1,2,0,0,0,1,0,3,TRUE,2016-12-07,Oglethorpe,H
A. Fishler,C,13,3,4,0,0,0,3,1,3,4,0,0,1,1,1,6,FALSE,2016-12-07,Oglethorpe,H
J. N'Ganga,C,11,2,3,0,0,0,0,2,2,4,0,0,0,1,0,4,FALSE,2016-12-07,Oglethorpe,H
R. Johnson,G,17,2,5,1,1,6,7,3,3,6,0,1,0,1,1,11,FALSE,2016-12-07,Oglethorpe,H
S. Gavin,G,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2016-12-07,Oglethorpe,H
D. Roy,G,20,4,6,1,2,0,0,0,2,2,3,3,0,2,1,9,FALSE,2016-12-07,Oglethorpe,H
R. Cummings,G,22,4,8,2,6,0,0,1,1,2,2,0,0,1,0,10,FALSE,2016-12-07,Oglethorpe,H
R. Lewis,G,20,3,8,2,6,2,2,3,3,6,6,2,0,2,3,10,FALSE,2016-12-07,Oglethorpe,H
TEAM,NA,NA,35,64,12,27,16,21,21,28,49,23,6,1,11,7,98,FALSE,2016-12-07,Oglethorpe,H
