player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
M. Lodge,F,14,0,0,0,0,0,0,1,1,2,0,0,2,0,5,0,TRUE,2017-02-14,VCU,A
J. Demery,F,30,6,13,0,0,5,7,2,9,11,0,0,0,6,4,17,TRUE,2017-02-14,VCU,A
C. Brown Jr.,F,38,5,9,3,5,6,9,1,4,5,1,2,0,2,3,19,TRUE,2017-02-14,VCU,A
N. Robinson,G,37,2,6,0,0,3,6,0,2,2,4,2,1,3,3,7,TRUE,2017-02-14,VCU,A
C. Clover,G,33,8,17,1,4,4,4,0,3,3,2,0,0,1,3,21,TRUE,2017-02-14,VCU,A
G. Blount,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,FALSE,2017-02-14,VCU,A
J. Baumann,F,6,0,1,0,0,2,2,0,2,2,0,1,1,0,1,2,FALSE,2017-02-14,VCU,A
B. Casper,F,22,6,9,0,0,1,2,0,1,1,2,0,0,3,2,13,FALSE,2017-02-14,VCU,A
J. Williams,F,19,1,2,0,0,0,0,2,2,4,0,2,0,0,4,2,FALSE,2017-02-14,VCU,A
TEAM,NA,NA,28,57,4,9,21,30,9,24,33,9,7,4,15,27,81,FALSE,2017-02-14,VCU,A
