player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
C. Musoko,F,24,5,10,0,0,1,6,1,3,4,0,1,0,0,4,11,TRUE,2016-11-30,UNLV,H
J. McGee,G,38,6,13,4,10,2,2,0,1,1,3,2,1,3,3,18,TRUE,2016-11-30,UNLV,H
R. Onwuasor,G,29,5,13,1,3,8,10,0,2,2,3,2,0,3,5,19,TRUE,2016-11-30,UNLV,H
J. Marshall,G,38,4,8,0,0,1,1,2,3,5,5,1,0,0,3,9,TRUE,2016-11-30,UNLV,H
R. Parsons,G,33,5,9,4,6,1,1,0,4,4,4,0,0,2,2,15,TRUE,2016-11-30,UNLV,H
J. Calloway,F,6,0,1,0,1,0,2,2,0,2,0,0,0,0,0,0,FALSE,2016-11-30,UNLV,H
B. Holker,F,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2016-11-30,UNLV,H
I. Madunic,C,17,1,2,1,2,1,2,0,5,5,0,0,0,1,4,4,FALSE,2016-11-30,UNLV,H
D. Day,G,11,2,4,1,1,0,0,0,0,0,2,0,0,1,2,5,FALSE,2016-11-30,UNLV,H
TEAM,NA,NA,28,60,11,23,14,24,5,21,26,17,6,1,10,23,81,FALSE,2016-11-30,UNLV,H
