player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
D.J. Hogg,F,33,6,11,3,8,0,2,2,4,6,4,0,0,0,3,15,TRUE,2016-12-10,South Carolina State,H
T. Trocha-Morelos,C,28,3,5,0,1,3,3,1,4,5,2,0,0,0,0,9,TRUE,2016-12-10,South Carolina State,H
T. Davis,C,26,8,9,0,0,6,13,6,2,8,2,0,1,1,4,22,TRUE,2016-12-10,South Carolina State,H
A. Gilder,G,30,6,11,1,5,3,4,1,5,6,4,2,1,1,4,16,TRUE,2016-12-10,South Carolina State,H
J. Hampton,G,34,0,5,0,4,3,4,0,2,2,3,0,0,0,1,3,TRUE,2016-12-10,South Carolina State,H
T. Miller,F,12,0,2,0,0,3,4,1,0,1,2,0,0,0,1,3,FALSE,2016-12-10,South Carolina State,H
E. Vila,F,9,0,2,0,1,0,0,0,4,4,0,1,0,2,0,0,FALSE,2016-12-10,South Carolina State,H
R. Williams III,F,21,5,5,0,0,5,7,2,0,2,1,0,2,4,0,15,FALSE,2016-12-10,South Carolina State,H
C. Collins,G,4,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,FALSE,2016-12-10,South Carolina State,H
K. Eubanks,G,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,2016-12-10,South Carolina State,H
TEAM,NA,NA,28,51,4,20,23,37,14,22,36,19,3,5,8,14,83,FALSE,2016-12-10,South Carolina State,H
