player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
R. Gaston,F,16,2,4,0,0,0,2,0,3,3,0,0,0,0,2,4,TRUE,2016-12-20,Eastern Washington,H
M. Bernard,G,24,3,8,2,4,2,3,1,2,3,2,1,0,2,2,10,TRUE,2016-12-20,Eastern Washington,H
T. Bluiett,G,31,6,13,3,8,1,2,0,4,4,0,4,0,2,1,16,TRUE,2016-12-20,Eastern Washington,H
J.P. Macura,G,31,2,6,0,2,8,8,2,4,6,2,1,0,0,2,12,TRUE,2016-12-20,Eastern Washington,H
E. Sumner,G,27,5,7,2,3,2,2,0,4,4,9,2,0,0,1,14,TRUE,2016-12-20,Eastern Washington,H
K. Gates,F,23,4,8,4,7,0,0,1,2,3,0,0,0,0,0,12,FALSE,2016-12-20,Eastern Washington,H
S. O'Mara,F,13,2,3,0,0,0,0,1,4,5,0,1,0,2,1,4,FALSE,2016-12-20,Eastern Washington,H
T. Stainbrook,F,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,FALSE,2016-12-20,Eastern Washington,H
T. Jones,F,10,3,5,0,0,3,4,4,0,4,1,1,2,0,4,9,FALSE,2016-12-20,Eastern Washington,H
C. Barr,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2016-12-20,Eastern Washington,H
C. Peterson,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2016-12-20,Eastern Washington,H
Q. Goodin,G,18,1,2,0,1,2,3,0,0,0,6,1,1,2,3,4,FALSE,2016-12-20,Eastern Washington,H
L. Schrand,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2016-12-20,Eastern Washington,H
A. Bergen,G,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,FALSE,2016-12-20,Eastern Washington,H
TEAM,NA,NA,28,56,11,25,18,24,10,26,36,20,11,3,8,16,85,FALSE,2016-12-20,Eastern Washington,H
