number,name,position,height,weight,class,hometown
0,Nassir Barrino,G,"6' 0""",165 lbs,FR,"Newark, NJ"
1,Tyler Williams,G,"6' 5""",190 lbs,SO,"Plano, TX"
2,Mark Carbone,G,"6' 2""",180 lbs,FR,"Wethersfield, CT"
3,Olin Carter III,G,"6' 2""",190 lbs,SO,"Allen, TX"
5,Mitch Schafer,G,"5' 10""",170 lbs,JR,"Portland, OR"
12,Juwan Gray,F,"6' 8""",190 lbs,FR,"Dover, DE"
13,Jose Martinez,F,"6' 10""",200 lbs,FR,"Cayey, Puerto Rico"
14,Nick Busch,G,"6' 4""",195 lbs,FR,"Santa Barbara, CA"
15,Alex Floresca,F,"6' 8""",230 lbs,SO,"Webster Groves, MO"
20,Cameron Neubauer,F,"6' 7""",220 lbs,JR,"Berlin, Germany"
21,Hunter Summy,G,"6' 4""",180 lbs,SO,"Southlake, TX"
22,Isaiah Wright,G,"6' 2""",180 lbs,JR,"Boise, ID"
24,Isaiah Pineiro,F,"6' 6""",210 lbs,JR,"Auburn, CA"
25,Andy Nelson,G,NA,NA,FR,NA
30,Frank Ryder,F/C,"6' 10""",230 lbs,FR,"Boulder, CO"
32,Brett Bailey,F,"6' 6""",205 lbs,SR,"Spokane, WA"
