game_id,date,opponent,location,team_score,opp_score,record
400914992,2016-11-11,Iowa,A,74,91,0-1 (0-0)
400922267,2016-11-14,Brewton-Parker,H,80,74,1-1 (0-0)
400922268,2016-11-16,Bethune-Cookman,A,72,75,1-2 (0-0)
400918750,2016-11-19,UMBC,A,85,93,1-3 (0-0)
400922269,2016-11-22,Alabama State,H,79,72,2-3 (0-0)
400916865,2016-11-26,Chattanooga,H,71,88,2-4 (0-0)
400916505,2016-11-28,South Florida,A,69,71,2-5 (0-0)
400922270,2016-11-30,Florida A&M,A,76,74,3-5 (0-0)
400915047,2016-12-03,Michigan,A,55,82,3-6 (0-0)
400917534,2016-12-14,Rider,A,79,81,3-7 (0-0)
400918420,2016-12-17,UMass,A,77,95,3-8 (0-0)
400915791,2016-12-20,Pacific,A,56,69,3-9 (0-0)
400920533,2016-12-22,North Carolina A&T,H,68,60,4-9 (0-0)
400916902,2016-12-28,Mercer,H,76,80,4-10 (0-0)
400922271,2016-12-31,North Georgia,H,89,76,5-10 (0-0)
400917776,2017-01-02,Tennessee State,A,76,73,6-10 (0-0)
400918808,2017-01-07,Lipscomb,A,79,82,6-11 (0-1)
400918772,2017-01-12,Florida Gulf Coast,H,75,78,6-12 (0-2)
400918863,2017-01-14,Stetson,H,84,65,7-12 (1-2)
400918838,2017-01-19,North Florida,A,84,86,7-13 (1-3)
400918798,2017-01-21,Jacksonville,A,81,71,8-13 (2-3)
400918828,2017-01-25,NJIT,H,71,65,9-13 (3-3)
400918853,2017-01-28,South Carolina Upstate,A,73,79,9-14 (3-4)
400918829,2017-01-30,NJIT,A,54,53,10-14 (4-4)
400918854,2017-02-04,South Carolina Upstate,H,84,79,11-14 (5-4)
400918865,2017-02-09,Stetson,A,92,85,12-14 (6-4)
400918781,2017-02-11,Florida Gulf Coast,A,63,75,12-15 (6-5)
400918803,2017-02-16,Jacksonville,H,78,79,12-16 (6-6)
400918843,2017-02-18,North Florida,H,85,68,13-16 (7-6)
400918817,2017-02-23,Lipscomb,H,74,85,13-17 (7-7)
400944288,2017-02-27,South Carolina Upstate,A,80,78,14-17 (7-7)
400944635,2017-03-02,Florida Gulf Coast,A,62,74,14-18 (7-7)
