player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
D. Thomas,F,19,3,4,0,0,1,2,0,3,3,0,1,0,2,4,7,TRUE,2018-02-17,Texas A&M,H
D. Gafford,F,28,7,8,0,0,4,6,4,2,6,2,1,2,2,4,18,TRUE,2018-02-17,Texas A&M,H
A. Beard,G,27,2,8,1,3,0,2,0,1,1,5,0,0,1,1,5,TRUE,2018-02-17,Texas A&M,H
J. Barford,G,32,7,18,4,10,3,4,2,3,5,5,1,0,1,4,21,TRUE,2018-02-17,Texas A&M,H
D. Macon,G,24,7,12,4,6,2,2,1,2,3,3,0,0,1,2,20,TRUE,2018-02-17,Texas A&M,H
A. Cook,F,2,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,FALSE,2018-02-17,Texas A&M,H
A. Bailey,F,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2018-02-17,Texas A&M,H
T. Thompson,F,15,1,5,0,0,0,0,3,3,6,0,0,0,0,2,2,FALSE,2018-02-17,Texas A&M,H
D. Hall,F,17,0,2,0,1,2,2,1,6,7,1,0,0,0,3,2,FALSE,2018-02-17,Texas A&M,H
G. Osabuohien,F,15,3,6,0,1,0,1,1,2,3,1,1,1,1,3,6,FALSE,2018-02-17,Texas A&M,H
C.J. Jones,G,18,5,7,1,2,2,3,1,1,2,0,1,0,0,1,13,FALSE,2018-02-17,Texas A&M,H
J. Holmes,G,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2018-02-17,Texas A&M,H
TEAM,NA,NA,35,71,10,23,14,22,19,26,45,17,5,3,9,25,94,FALSE,2018-02-17,Texas A&M,H
