player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
L. Meikle,F,13,1,6,0,1,2,2,0,1,1,1,0,0,0,1,4,TRUE,2018-03-08,UC Santa Barbara,N
A. Abrams,F,20,1,1,0,0,2,2,1,3,4,1,1,0,0,2,4,TRUE,2018-03-08,UC Santa Barbara,N
M. Crowe,F,21,3,3,0,0,0,0,0,1,1,2,1,0,1,0,6,TRUE,2018-03-08,UC Santa Barbara,N
V. Joseph,G,32,3,11,1,4,6,6,2,5,7,3,0,0,3,3,13,TRUE,2018-03-08,UC Santa Barbara,N
D. Fields,G,32,1,7,0,2,2,2,1,1,2,2,1,1,0,1,4,TRUE,2018-03-08,UC Santa Barbara,N
H. Hollingsworth,F,14,0,1,0,0,1,2,2,0,2,0,0,0,0,0,1,FALSE,2018-03-08,UC Santa Barbara,N
K. Garoza,F,7,0,3,0,0,2,2,0,0,0,0,0,0,0,2,2,FALSE,2018-03-08,UC Santa Barbara,N
J. Niziol,F,10,1,4,1,3,2,2,0,0,0,0,1,0,0,2,5,FALSE,2018-03-08,UC Santa Barbara,N
J. Martin,F,24,2,8,0,2,1,2,0,5,5,1,0,0,2,1,5,FALSE,2018-03-08,UC Santa Barbara,N
T. John,G,10,1,3,1,3,0,0,0,1,1,1,0,0,0,0,3,FALSE,2018-03-08,UC Santa Barbara,N
I. James,G,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE,2018-03-08,UC Santa Barbara,N
M. Garrick,G,10,1,4,0,1,4,4,0,0,0,0,0,0,0,2,6,FALSE,2018-03-08,UC Santa Barbara,N
TEAM,NA,NA,14,51,3,16,22,24,7,20,27,11,4,1,7,15,53,FALSE,2018-03-08,UC Santa Barbara,N
