player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. Howard,F,32,5,8,0,0,2,4,4,4,8,1,1,1,2,2,12,TRUE,2018-01-15,UNC Asheville,A
T. McConico,F,31,4,8,2,5,0,1,1,1,2,1,0,0,2,2,10,TRUE,2018-01-15,UNC Asheville,A
D. Buskey,G,12,2,4,1,3,1,2,1,0,1,2,1,0,1,0,6,TRUE,2018-01-15,UNC Asheville,A
P. Fleming Jr.,G,33,2,6,1,4,3,4,1,1,2,2,2,0,1,1,8,TRUE,2018-01-15,UNC Asheville,A
C. Keeling,G,38,9,21,2,7,2,2,0,5,5,4,1,0,3,4,22,TRUE,2018-01-15,UNC Asheville,A
J. Martin,F,4,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,FALSE,2018-01-15,UNC Asheville,A
T. Jones,F,17,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,FALSE,2018-01-15,UNC Asheville,A
C. Mitchell,G,25,3,6,2,3,5,8,1,1,2,1,2,0,1,3,13,FALSE,2018-01-15,UNC Asheville,A
J. David,G,8,0,1,0,1,0,0,1,1,2,1,0,1,1,0,0,FALSE,2018-01-15,UNC Asheville,A
TEAM,NA,NA,26,55,8,23,13,21,11,15,26,13,7,3,12,14,73,FALSE,2018-01-15,UNC Asheville,A
