player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
C. Brown,F,20,2,5,0,0,1,2,4,4,8,2,0,1,2,2,5,TRUE,2017-12-09,Delaware State,H
T. Verhoeven,F,18,2,4,0,0,0,0,2,2,4,1,1,1,1,3,4,TRUE,2017-12-09,Delaware State,H
E. Williams Jr.,F,28,5,9,5,6,7,8,2,7,9,1,3,0,1,0,22,TRUE,2017-12-09,Delaware State,H
M. Lewis II,G,22,7,14,7,12,2,2,1,0,1,1,0,0,0,1,23,TRUE,2017-12-09,Delaware State,H
R. Castro-Caneddy,G,28,5,9,2,5,0,0,0,3,3,10,2,0,1,2,12,TRUE,2017-12-09,Delaware State,H
M. Krivacevic,F,6,0,1,0,1,0,0,0,2,2,0,1,0,0,1,0,FALSE,2017-12-09,Delaware State,H
N. Kratholm,F,11,0,1,0,0,0,2,3,0,3,0,0,0,2,0,0,FALSE,2017-12-09,Delaware State,H
K. Taylor,F,12,1,2,0,0,0,0,2,2,4,0,0,0,0,0,2,FALSE,2017-12-09,Delaware State,H
E. James,F,13,4,7,2,3,3,3,1,2,3,2,1,0,0,2,13,FALSE,2017-12-09,Delaware State,H
Z. Snyder,F,3,1,2,1,2,0,0,0,1,1,1,0,0,0,1,3,FALSE,2017-12-09,Delaware State,H
J. Robinson,C,15,2,4,0,0,0,1,0,0,0,0,0,1,0,1,4,FALSE,2017-12-09,Delaware State,H
T. Smith,G,20,3,8,1,4,0,0,1,3,4,6,0,1,0,2,7,FALSE,2017-12-09,Delaware State,H
C. Davis,G,4,1,2,0,1,0,0,0,0,0,1,0,0,0,0,2,FALSE,2017-12-09,Delaware State,H
TEAM,NA,NA,33,68,18,34,13,18,17,26,43,25,8,4,7,15,97,FALSE,2017-12-09,Delaware State,H
