player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
R. Snowden,F,14,0,1,0,0,0,0,0,2,2,3,1,0,1,3,0,TRUE,2017-12-30,Northeastern,H
D. Phillips,F,18,3,5,0,0,0,1,3,1,4,2,0,0,2,5,6,TRUE,2017-12-30,Northeastern,H
J. McLean,G,20,5,10,0,1,2,2,0,1,1,0,0,0,2,3,12,TRUE,2017-12-30,Northeastern,H
S. Mosley,G,37,7,20,0,2,4,4,2,3,5,6,1,0,0,4,18,TRUE,2017-12-30,Northeastern,H
D. Banks,G,32,1,7,0,2,5,6,0,3,3,3,3,0,1,4,7,TRUE,2017-12-30,Northeastern,H
G. Jones,F,16,1,3,0,0,0,0,1,1,2,1,0,1,0,1,2,FALSE,2017-12-30,Northeastern,H
Z. Jacobs,F,12,1,2,1,1,0,0,0,1,1,0,0,0,0,2,3,FALSE,2017-12-30,Northeastern,H
D. Wilson,F,18,5,8,0,0,3,3,3,5,8,0,0,0,2,1,13,FALSE,2017-12-30,Northeastern,H
M. Lewis,G,33,1,8,0,3,7,9,0,4,4,0,1,0,0,4,9,FALSE,2017-12-30,Northeastern,H
TEAM,NA,NA,24,64,1,9,21,25,9,22,31,15,6,1,8,27,70,FALSE,2017-12-30,Northeastern,H
