player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. Jones,F,32,5,7,0,1,4,8,2,3,5,0,2,0,2,1,14,TRUE,2018-01-11,Jacksonville,A
I. Mbuyamba,F,15,0,0,0,0,0,0,0,3,3,0,0,2,0,1,0,TRUE,2018-01-11,Jacksonville,A
M. Scott,G,20,1,7,0,3,4,4,1,1,2,2,0,0,4,2,6,TRUE,2018-01-11,Jacksonville,A
N. Masterson,G,33,3,7,0,3,2,2,1,2,3,2,1,0,1,1,8,TRUE,2018-01-11,Jacksonville,A
T. Hooker,G,36,5,16,1,6,5,6,0,4,4,3,2,0,1,1,16,TRUE,2018-01-11,Jacksonville,A
K. Jankovic,F,13,1,6,0,1,2,2,0,3,3,0,0,1,1,1,4,FALSE,2018-01-11,Jacksonville,A
B. Lockley,F,16,0,2,0,0,0,0,1,2,3,0,0,2,2,1,0,FALSE,2018-01-11,Jacksonville,A
A. Wilson,F,15,2,6,0,0,0,0,1,2,3,0,0,1,2,3,4,FALSE,2018-01-11,Jacksonville,A
K. Clarke,G,20,2,6,0,2,2,2,1,0,1,1,4,1,1,4,6,FALSE,2018-01-11,Jacksonville,A
TEAM,NA,NA,19,57,1,16,19,24,13,22,35,8,9,7,14,15,58,FALSE,2018-01-11,Jacksonville,A
