player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
P. Carr,F,23,3,7,0,1,0,0,2,7,9,0,1,2,0,3,6,TRUE,2018-02-12,Florida A&M,A
D. Syfax Jr.,F,31,8,11,0,2,1,2,3,7,10,0,0,4,1,1,17,TRUE,2018-02-12,Florida A&M,A
K. Rawls,G,30,1,5,1,4,2,2,1,0,1,2,0,0,0,3,5,TRUE,2018-02-12,Florida A&M,A
A. Gillespie,G,15,1,3,0,1,0,0,1,1,2,1,0,0,1,1,2,TRUE,2018-02-12,Florida A&M,A
T. Kendley,G,35,9,17,0,2,6,6,1,3,4,2,2,1,3,2,24,TRUE,2018-02-12,Florida A&M,A
A. Sykes,F,7,1,1,0,0,2,2,0,1,1,1,1,0,0,3,4,FALSE,2018-02-12,Florida A&M,A
L. McCray-Pace,G,6,0,1,0,0,0,0,1,2,3,0,0,0,2,1,0,FALSE,2018-02-12,Florida A&M,A
K. Gracey,G,3,1,2,0,0,1,1,0,2,2,2,0,0,1,0,3,FALSE,2018-02-12,Florida A&M,A
S. Davis,G,24,6,7,0,0,1,1,1,5,6,0,2,0,2,1,13,FALSE,2018-02-12,Florida A&M,A
T. Streeter,G,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2018-02-12,Florida A&M,A
M. Cameron,G,24,0,3,0,0,0,0,0,1,1,2,0,1,1,2,0,FALSE,2018-02-12,Florida A&M,A
TEAM,NA,NA,30,58,1,10,13,14,10,31,41,10,6,8,11,17,74,FALSE,2018-02-12,Florida A&M,A
