player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
R. Bullock,F,31,5,11,2,3,5,7,0,9,9,2,1,1,1,1,17,TRUE,2017-11-16,Washington,N
K. Young,F,26,5,8,0,0,2,3,1,4,5,0,2,1,3,5,12,TRUE,2017-11-16,Washington,N
A. Diallo,G,26,4,5,0,0,3,4,1,3,4,5,1,0,5,3,11,TRUE,2017-11-16,Washington,N
I. Jackson,G,12,1,4,0,0,0,1,0,1,1,2,0,0,4,1,2,TRUE,2017-11-16,Washington,N
K. Cartwright,G,28,2,5,2,5,4,5,0,2,2,5,1,0,3,2,10,TRUE,2017-11-16,Washington,N
N. Watson,C,13,2,4,0,0,1,3,0,0,0,0,0,0,0,4,5,FALSE,2017-11-16,Washington,N
D. Edwards,G,18,3,4,2,2,3,3,0,4,4,0,1,0,1,1,11,FALSE,2017-11-16,Washington,N
M. White,G,19,1,3,1,2,1,2,0,1,1,6,0,0,0,1,4,FALSE,2017-11-16,Washington,N
J. Lindsey,G,20,1,4,1,3,0,0,1,1,2,0,1,0,0,2,3,FALSE,2017-11-16,Washington,N
M. Ashton-Langford,G,7,1,1,0,0,0,0,0,0,0,2,1,0,1,1,2,FALSE,2017-11-16,Washington,N
TEAM,NA,NA,25,49,8,15,19,28,9,28,37,22,8,2,19,21,77,FALSE,2017-11-16,Washington,N
