player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
K. Fisher III,F,18,4,7,0,0,4,4,2,4,6,2,0,1,3,2,12,TRUE,2017-11-10,Antelope Valley,H
R. Welage,F,22,10,12,3,3,7,8,1,3,4,3,1,0,0,0,30,TRUE,2017-11-10,Antelope Valley,H
O. Barry,C,21,3,8,0,1,2,4,4,3,7,1,0,3,0,0,8,TRUE,2017-11-10,Antelope Valley,H
J. James,G,25,5,7,3,3,2,2,0,4,4,4,3,0,3,3,15,TRUE,2017-11-10,Antelope Valley,H
J. Hillsman,G,20,1,3,0,2,2,3,1,2,3,3,1,0,3,0,4,TRUE,2017-11-10,Antelope Valley,H
R. Singer,F,12,1,3,0,0,0,0,0,2,2,0,0,0,1,5,2,FALSE,2017-11-10,Antelope Valley,H
R. Parilla,G,19,1,4,0,0,0,1,1,2,3,4,1,0,0,4,2,FALSE,2017-11-10,Antelope Valley,H
C. Simmons,G,21,2,6,0,3,2,2,3,5,8,3,1,0,2,2,6,FALSE,2017-11-10,Antelope Valley,H
I. Nichols,G,21,3,9,0,2,0,1,0,10,10,6,0,0,3,0,6,FALSE,2017-11-10,Antelope Valley,H
N. Baumann,G,21,4,6,3,4,1,2,1,2,3,4,3,0,0,0,12,FALSE,2017-11-10,Antelope Valley,H
TEAM,NA,NA,34,65,9,18,20,27,13,40,53,30,10,4,15,16,97,FALSE,2017-11-10,Antelope Valley,H
