player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. Vrankic,F,33,5,9,2,3,4,4,0,1,1,2,0,0,1,2,16,TRUE,2017-11-25,Sam Houston State,N
H. Caruso,F,28,1,7,1,5,0,0,2,5,7,2,1,2,3,1,3,TRUE,2017-11-25,Sam Houston State,N
E. Ndumanya,C,12,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,TRUE,2017-11-25,Sam Houston State,N
K. Feagin,G,36,9,16,5,9,1,2,1,2,3,2,0,0,2,4,24,TRUE,2017-11-25,Sam Houston State,N
M. Hauser,G,29,1,10,0,6,0,0,0,5,5,4,0,0,3,0,2,TRUE,2017-11-25,Sam Houston State,N
J. Pugh,F,6,0,1,0,1,0,0,1,2,3,0,0,0,0,1,0,FALSE,2017-11-25,Sam Houston State,N
J. Roche,C,12,1,2,0,0,0,0,1,0,1,0,0,1,1,1,2,FALSE,2017-11-25,Sam Houston State,N
S. Walters,G,24,3,3,0,0,3,4,0,2,2,1,0,0,0,0,9,FALSE,2017-11-25,Sam Houston State,N
M. Turner,G,20,1,5,1,4,0,0,1,0,1,2,0,0,1,3,3,FALSE,2017-11-25,Sam Houston State,N
TEAM,NA,NA,21,54,9,28,8,10,7,19,26,13,1,3,12,13,59,FALSE,2017-11-25,Sam Houston State,N
