player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. Etou,F,40,5,10,2,4,7,11,2,9,11,1,0,0,2,4,19,TRUE,2018-02-08,Tulane,H
M. Igbanu,F,21,6,8,0,0,5,7,5,4,9,0,0,0,1,3,17,TRUE,2018-02-08,Tulane,H
L. Korita,G,6,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,TRUE,2018-02-08,Tulane,H
C. Henderson,G,40,5,13,3,10,6,8,0,1,1,0,1,0,1,2,19,TRUE,2018-02-08,Tulane,H
S. Taplin,G,38,6,11,1,5,4,4,0,4,4,8,0,2,3,4,17,TRUE,2018-02-08,Tulane,H
G. Artison,F,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,2018-02-08,Tulane,H
D. Jeffries,G,25,2,4,0,2,2,2,2,4,6,0,0,1,0,3,6,FALSE,2018-02-08,Tulane,H
E. Joiner,G,11,0,1,0,1,2,2,0,0,0,0,0,0,1,3,2,FALSE,2018-02-08,Tulane,H
D. Jackson,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,2018-02-08,Tulane,H
C. Scott,G,5,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,FALSE,2018-02-08,Tulane,H
J. Wheeler,G,36,4,8,0,0,3,6,4,5,9,0,0,1,3,2,11,FALSE,2018-02-08,Tulane,H
TEAM,NA,NA,28,59,6,25,29,40,15,30,45,10,1,4,14,23,91,FALSE,2018-02-08,Tulane,H
