player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
A. Leek,F,32,0,5,0,1,0,0,1,4,5,0,0,3,4,2,0,TRUE,2017-11-16,Loyola Chicago,H
J. Giles,F,25,3,8,1,2,5,7,2,3,5,0,1,0,4,5,12,TRUE,2017-11-16,Loyola Chicago,H
B. Robinson,G,36,5,11,3,7,3,4,4,3,7,1,4,0,2,4,16,TRUE,2017-11-16,Loyola Chicago,H
B. McKissic,G,16,0,1,0,0,0,0,1,0,1,3,0,0,1,5,0,TRUE,2017-11-16,Loyola Chicago,H
I. Ross,G,34,3,12,3,11,2,2,0,6,6,1,1,0,1,0,11,TRUE,2017-11-16,Loyola Chicago,H
M. Ahmed,C,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,FALSE,2017-11-16,Loyola Chicago,H
T. Jackson,G,11,1,2,1,2,0,0,0,3,3,0,1,0,1,0,3,FALSE,2017-11-16,Loyola Chicago,H
X. Bishop,G,31,3,13,0,4,3,4,1,2,3,0,0,0,1,2,9,FALSE,2017-11-16,Loyola Chicago,H
M. Smith,G,8,1,3,1,3,2,2,0,0,0,1,0,0,0,1,5,FALSE,2017-11-16,Loyola Chicago,H
S. Dulley,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2017-11-16,Loyola Chicago,H
M. Nesbitt Jr.,G,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,FALSE,2017-11-16,Loyola Chicago,H
TEAM,NA,NA,16,55,9,30,15,19,11,22,33,6,7,4,15,20,56,FALSE,2017-11-16,Loyola Chicago,H
