player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
B. Johnson,F,32,4,9,0,0,2,2,2,4,6,1,0,0,0,2,10,TRUE,2018-02-27,Eastern Michigan,H
D. LaMont,C,20,3,6,0,0,0,0,5,2,7,2,0,0,0,2,6,TRUE,2018-02-27,Eastern Michigan,H
B. Moore,G,29,2,10,1,7,1,2,2,2,4,5,0,0,1,4,6,TRUE,2018-02-27,Eastern Michigan,H
J. Davis,G,24,5,8,0,0,3,4,0,2,2,2,0,1,1,1,13,TRUE,2018-02-27,Eastern Michigan,H
T. Wilder,G,38,3,10,1,3,2,2,0,2,2,1,1,0,1,0,9,TRUE,2018-02-27,Eastern Michigan,H
T. Clifford,F,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,2018-02-27,Eastern Michigan,H
S. Dugan,C,14,2,4,0,0,0,0,2,0,2,0,0,1,0,0,4,FALSE,2018-02-27,Eastern Michigan,H
J. Printy,G,7,0,0,0,0,3,3,0,0,0,0,0,0,0,1,3,FALSE,2018-02-27,Eastern Michigan,H
J. Randall,G,2,1,2,0,1,0,0,0,0,0,0,1,0,1,0,2,FALSE,2018-02-27,Eastern Michigan,H
R. Jones,G,24,1,6,1,2,0,0,0,5,5,2,0,0,5,3,3,FALSE,2018-02-27,Eastern Michigan,H
M. Flowers,G,4,0,3,0,1,0,0,0,1,1,0,0,0,0,1,0,FALSE,2018-02-27,Eastern Michigan,H
K. McDermed,G,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,FALSE,2018-02-27,Eastern Michigan,H
J. Whitens,G,2,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,FALSE,2018-02-27,Eastern Michigan,H
TEAM,NA,NA,22,59,3,14,11,13,13,22,35,14,2,3,10,16,58,FALSE,2018-02-27,Eastern Michigan,H
