number,name,position,height,weight,class,hometown
0,Dominic Ezeani,G,"5' 11""",165 lbs,SO,"Silver Spring, MD"
1,Isaiah Walton,G,"6' 5""",190 lbs,JR,"Oberlin, OH"
2,B.K. Ashe,G,"6' 1""",160 lbs,SR,"Washington, DC"
3,Kamil Chapman,G,"6' 1""",185 lbs,FR,"Charlotte, NC"
4,Juan Munoz,G,"5' 11""",165 lbs,FR,"Morrisville, NC"
5,Bryan Gee,G,"6' 0""",180 lbs,JR,"Cleveland, OH"
10,Keoni Wallington,G,"5' 11""",180 lbs,JR,"Palm Bay, FL"
11,Jahleem Montague,F,"6' 8""",230 lbs,SO,"Atlantic City, NJ"
12,Charles Glover,G,"6' 1""",195 lbs,SR,"Bowie, MD"
13,Spencer Franklin,F,"6' 8""",210 lbs,JR,"Fort Worth, TX"
15,Pernell Adgei,F,"6' 8""",220 lbs,FR,"Dumfries, VA"
20,Jordan Cintron,F,"6' 8""",205 lbs,FR,"Bronx, NY"
21,JaShaun Smith,F,"6' 5""",195 lbs,SO,"Raleigh, NC"
23,Boaz Williams,F,"6' 7""",220 lbs,JR,"Houston, TX"
24,Damarion Geter,F,"6' 8""",230 lbs,SR,"Dayton, OH"
30,Chris Shields,F,"6' 8""",205 lbs,JR,"Hedgesville, WV"
41,Drew Romich,F/C,"6' 10""",250 lbs,JR,"Marietta, GA"
