game_id,date,opponent,location,team_score,opp_score,record
400989551,2017-11-10,Winthrop,A,81,66,1-0 (0-0)
400989608,2017-11-18,Illinois-Springfield,H,69,64,2-0 (0-0)
400986080,2017-11-21,Louisville,A,42,84,2-1 (0-0)
400989621,2017-11-25,Murray State,A,73,81,2-2 (0-0)
400989632,2017-11-29,SIU-Edwardsville,H,86,59,3-2 (0-0)
400989637,2017-12-02,San José St,H,76,58,4-2 (0-0)
400989642,2017-12-06,Saint Louis,A,69,74,4-3 (0-0)
400989648,2017-12-09,SE Missouri St,H,69,75,4-4 (0-0)
400989653,2017-12-13,Jackson State,H,69,51,5-4 (0-0)
400988980,2017-12-17,Lamar,H,71,61,6-4 (0-0)
400989662,2017-12-19,North Carolina A&T,H,102,64,7-4 (0-0)
400989667,2017-12-22,Nevada,N,64,86,7-5 (0-0)
400989670,2017-12-23,Duquesne,N,74,64,8-5 (0-0)
400989671,2017-12-28,Northern Iowa,A,56,53,9-5 (1-0)
400989676,2017-12-31,Drake,H,67,70,9-6 (1-1)
400989680,2018-01-03,Evansville,H,65,63,10-6 (2-1)
400989685,2018-01-06,Valparaiso,A,72,83,10-7 (2-2)
400989689,2018-01-09,Bradley,A,62,68,10-8 (2-3)
400989695,2018-01-13,Illinois State,H,74,70,11-8 (3-3)
400989702,2018-01-17,Loyola Chicago,A,65,79,11-9 (3-4)
400989707,2018-01-21,Northern Iowa,H,64,53,12-9 (4-4)
400989711,2018-01-24,Indiana State,H,82,77,13-9 (5-4)
400989716,2018-01-27,Missouri State,A,79,77,14-9 (6-4)
400989720,2018-01-30,Drake,A,78,67,15-9 (7-4)
400989726,2018-02-03,Valparaiso,H,65,59,16-9 (8-4)
400989733,2018-02-08,Illinois State,A,68,76,16-10 (8-5)
400989737,2018-02-11,Bradley,H,74,57,17-10 (9-5)
400989742,2018-02-14,Missouri State,H,81,80,18-10 (10-5)
400989745,2018-02-17,Indiana State,A,76,72,19-10 (11-5)
400989753,2018-02-21,Loyola Chicago,H,56,75,19-11 (11-6)
400989757,2018-02-24,Evansville,A,44,75,19-12 (11-7)
401020136,2018-03-02,Missouri State,N,67,63,20-12 (11-7)
401020145,2018-03-03,Illinois State,N,68,76,20-13 (11-7)
