player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
B. Hank,F,23,4,5,0,0,0,2,4,3,7,0,0,0,0,1,8,TRUE,2019-11-22,Quinnipiac,A
M. De Sousa,G,19,2,6,0,2,0,0,1,5,6,2,1,0,1,4,4,TRUE,2019-11-22,Quinnipiac,A
C. Healy,G,33,5,16,3,10,2,3,0,1,1,8,1,0,0,2,15,TRUE,2019-11-22,Quinnipiac,A
A. Clark,G,36,8,13,2,4,2,2,2,4,6,4,2,1,2,2,20,TRUE,2019-11-22,Quinnipiac,A
A. Rizzuto,G,26,1,7,1,6,0,0,2,0,2,3,2,0,0,0,3,TRUE,2019-11-22,Quinnipiac,A
R. Hansen,F,14,1,4,0,1,0,0,1,1,2,1,1,0,2,1,2,FALSE,2019-11-22,Quinnipiac,A
M. Doherty,F,4,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,FALSE,2019-11-22,Quinnipiac,A
S. French,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2019-11-22,Quinnipiac,A
K. Lauderdale,F,17,3,5,0,0,0,0,0,4,4,0,0,0,1,2,6,FALSE,2019-11-22,Quinnipiac,A
T. Hutcheson,G,28,5,11,1,5,0,0,1,2,3,5,0,0,2,3,11,FALSE,2019-11-22,Quinnipiac,A
TEAM,NA,NA,29,68,7,29,4,7,14,23,37,23,7,1,9,15,69,FALSE,2019-11-22,Quinnipiac,A
