player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
K. Bar,F,23,2,6,0,0,0,0,3,8,11,0,0,1,1,3,4,TRUE,2019-01-05,Indiana State,A
E. Childs,F,25,2,11,0,2,1,1,3,3,6,1,0,4,5,4,5,TRUE,2019-01-05,Indiana State,A
A. Pittman,G,8,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,TRUE,2019-01-05,Indiana State,A
D. Lautier-Ogunleye,G,35,3,7,0,1,2,4,0,9,9,0,1,0,3,4,8,TRUE,2019-01-05,Indiana State,A
D. Brown,G,38,8,17,3,9,13,16,1,3,4,1,1,0,3,1,32,TRUE,2019-01-05,Indiana State,A
A. Boya,F,7,1,4,0,0,0,0,0,1,1,0,1,0,0,2,2,FALSE,2019-01-05,Indiana State,A
L. van Bree,F,22,2,5,0,2,0,0,4,6,10,1,1,0,1,4,4,FALSE,2019-01-05,Indiana State,A
N. Kennell,G,28,2,8,0,4,1,2,0,3,3,0,2,0,1,5,5,FALSE,2019-01-05,Indiana State,A
L. Lundy,G,5,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,FALSE,2019-01-05,Indiana State,A
A. Brummett,G,9,0,1,0,1,0,0,0,1,1,0,0,0,1,2,0,FALSE,2019-01-05,Indiana State,A
TEAM,NA,NA,20,60,3,20,17,23,13,35,48,5,6,5,17,29,60,FALSE,2019-01-05,Indiana State,A
