player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
D. Andrews,F,16,2,7,0,1,0,0,1,2,3,1,1,0,1,4,4,TRUE,2018-12-01,Arkansas,A
E. Dieng,C,11,1,2,0,0,0,0,2,1,3,0,0,1,3,5,2,TRUE,2018-12-01,Arkansas,A
T. Jacob,G,36,9,18,2,6,0,1,2,6,8,2,0,0,1,0,20,TRUE,2018-12-01,Arkansas,A
B. Beard Jr.,G,32,5,15,1,7,10,12,3,5,8,6,5,0,1,4,21,TRUE,2018-12-01,Arkansas,A
W. Nunez Jr.,G,28,4,14,3,13,2,2,0,2,2,0,0,0,0,0,13,TRUE,2018-12-01,Arkansas,A
M. Douglas,F,15,0,3,0,2,1,2,1,3,4,2,1,0,2,5,1,FALSE,2018-12-01,Arkansas,A
J. Ametepe,F,3,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,FALSE,2018-12-01,Arkansas,A
A. Daye Jr.,G,26,5,10,0,1,5,10,1,2,3,2,0,0,4,3,15,FALSE,2018-12-01,Arkansas,A
I. Banks,G,23,4,10,0,5,3,7,5,1,6,1,0,1,1,3,11,FALSE,2018-12-01,Arkansas,A
C. Veira,G,10,0,3,0,2,0,0,0,0,0,2,1,0,1,1,0,FALSE,2018-12-01,Arkansas,A
TEAM,NA,NA,31,83,6,37,21,34,20,23,43,16,8,2,14,27,89,FALSE,2018-12-01,Arkansas,A
