player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. Morgan,F,37,2,8,1,2,2,3,3,8,11,4,3,0,1,3,7,TRUE,2019-03-02,Michigan State,H
J. Smith,F,34,9,19,3,6,3,5,3,1,4,0,0,0,1,2,24,TRUE,2019-03-02,Michigan State,H
A. Durham,G,22,1,4,1,4,0,0,0,1,1,1,1,0,1,2,3,TRUE,2019-03-02,Michigan State,H
R. Langford,G,37,4,14,0,4,1,3,1,3,4,0,2,1,2,1,9,TRUE,2019-03-02,Michigan State,H
R. Phinisee,G,33,2,6,1,3,0,0,0,3,3,5,0,1,1,2,5,TRUE,2019-03-02,Michigan State,H
D. Davis,F,8,1,3,0,0,0,0,3,0,3,0,1,0,1,0,2,FALSE,2019-03-02,Michigan State,H
R. Thompson,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2019-03-02,Michigan State,H
D. Green,G,25,4,7,3,5,2,2,2,0,2,4,3,0,1,0,13,FALSE,2019-03-02,Michigan State,H
Z. McRoberts,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2019-03-02,Michigan State,H
TEAM,NA,NA,23,61,9,24,8,13,15,16,31,14,10,2,8,10,63,FALSE,2019-03-02,Michigan State,H
