player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
K. Williams,F,30,3,7,0,1,2,2,2,3,5,0,1,0,2,2,8,TRUE,2019-02-16,Eastern Kentucky,A
D. Cowart,F,17,6,8,0,0,2,2,0,4,4,1,0,1,2,4,14,TRUE,2019-02-16,Eastern Kentucky,A
T. Brown,G,32,4,9,2,7,4,5,1,4,5,2,2,1,3,2,14,TRUE,2019-02-16,Eastern Kentucky,A
S. Buchanan,G,29,5,6,2,3,4,4,1,0,1,1,2,0,1,2,16,TRUE,2019-02-16,Eastern Kentucky,A
J. Morant,G,38,9,17,2,5,5,6,1,7,8,14,3,1,9,0,25,TRUE,2019-02-16,Eastern Kentucky,A
D. Gilmore,F,22,6,6,0,0,0,0,1,6,7,0,1,0,0,2,12,FALSE,2019-02-16,Eastern Kentucky,A
B. Sanchious,F,11,0,0,0,0,1,4,1,2,3,0,1,0,0,3,1,FALSE,2019-02-16,Eastern Kentucky,A
J. Eaves,G,16,2,5,2,4,0,0,0,0,0,1,0,0,0,0,6,FALSE,2019-02-16,Eastern Kentucky,A
B. Whitley,G,3,2,2,2,2,0,0,1,0,1,0,0,0,0,0,6,FALSE,2019-02-16,Eastern Kentucky,A
J. Johnson,G,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,2019-02-16,Eastern Kentucky,A
TEAM,NA,NA,37,61,10,23,18,23,9,27,36,19,10,3,18,15,102,FALSE,2019-02-16,Eastern Kentucky,A
