player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
N. Horchler,F,32,7,11,2,2,0,0,1,8,9,1,2,3,3,4,16,TRUE,2018-11-17,Wright State,A
T. Day,F,15,2,7,0,1,2,2,0,2,2,0,1,0,0,5,6,TRUE,2018-11-17,Wright State,A
I. Gandia-Rosa,G,30,5,9,3,5,0,0,0,1,1,4,1,0,1,2,13,TRUE,2018-11-17,Wright State,A
J.T. Escobar,G,22,1,3,0,2,0,0,0,1,1,1,0,0,0,4,2,TRUE,2018-11-17,Wright State,A
G. Sams,G,28,4,10,1,6,7,8,1,3,4,4,2,0,1,3,16,TRUE,2018-11-17,Wright State,A
E. Balogun,F,12,2,4,0,1,0,1,1,1,2,1,2,0,1,2,4,FALSE,2018-11-17,Wright State,A
W. Aminu,F,15,1,3,1,1,2,3,0,1,1,1,0,0,2,4,5,FALSE,2018-11-17,Wright State,A
C. Hendricksen,F,13,0,3,0,3,0,0,0,2,2,0,0,0,1,2,0,FALSE,2018-11-17,Wright State,A
R. Burkhardt,G,23,3,3,2,2,2,2,0,0,0,0,1,0,1,1,10,FALSE,2018-11-17,Wright State,A
B. Coffey II,G,10,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,FALSE,2018-11-17,Wright State,A
TEAM,NA,NA,25,53,9,23,13,16,5,20,25,12,9,3,12,27,72,FALSE,2018-11-17,Wright State,A
