player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
A. Carver,F,25,1,2,0,0,1,2,1,5,6,2,0,0,0,3,3,TRUE,2019-01-17,Louisiana Tech,H
E. Robinson III,C,4,0,0,0,0,0,0,1,0,1,1,0,0,1,2,0,TRUE,2019-01-17,Louisiana Tech,H
A. Caver,G,31,5,11,0,4,3,3,0,1,1,4,1,0,2,3,13,TRUE,2019-01-17,Louisiana Tech,H
B.J. Stith,G,39,7,16,1,4,1,1,0,8,8,0,0,0,1,2,16,TRUE,2019-01-17,Louisiana Tech,H
X. Green,G,35,5,11,2,4,0,0,0,4,4,1,1,0,3,3,12,TRUE,2019-01-17,Louisiana Tech,H
D. Dickens,F,30,6,10,0,0,2,3,1,4,5,1,0,4,1,2,14,FALSE,2019-01-17,Louisiana Tech,H
K. Ezikpe,F,6,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,FALSE,2019-01-17,Louisiana Tech,H
J. Wade,G,12,0,0,0,0,0,0,0,2,2,2,0,0,0,1,0,FALSE,2019-01-17,Louisiana Tech,H
J. Kithcart,G,18,2,7,2,5,0,1,0,1,1,4,0,0,0,3,6,FALSE,2019-01-17,Louisiana Tech,H
TEAM,NA,NA,26,58,5,17,7,10,3,28,31,15,2,6,9,20,64,FALSE,2019-01-17,Louisiana Tech,H
