player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
M. Thompson,F,22,2,5,1,2,0,0,0,1,1,0,0,0,1,2,5,TRUE,2018-12-09,Delaware,A
L. Laporal,C,13,2,2,0,0,0,0,1,2,3,0,0,0,0,2,4,TRUE,2018-12-09,Delaware,A
J. King,G,37,9,17,4,8,4,4,1,1,2,8,0,0,0,1,26,TRUE,2018-12-09,Delaware,A
A. Wolford,G,34,2,10,2,10,2,2,0,3,3,0,1,0,0,0,8,TRUE,2018-12-09,Delaware,A
K. Braxton,G,36,7,13,2,6,3,4,1,8,9,5,1,0,0,0,19,TRUE,2018-12-09,Delaware,A
D. Kuzavas,F,7,1,1,0,0,0,0,1,1,2,0,0,1,0,2,2,FALSE,2018-12-09,Delaware,A
M. Flagg,F,19,1,3,1,1,1,4,3,2,5,1,1,0,2,4,4,FALSE,2018-12-09,Delaware,A
R. Dixon-Conover,G,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,2018-12-09,Delaware,A
R. Gaskins Jr.,G,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE,2018-12-09,Delaware,A
I. Blackmon,G,23,5,7,4,5,1,2,1,2,3,0,0,0,0,3,15,FALSE,2018-12-09,Delaware,A
TEAM,NA,NA,29,58,14,32,11,16,8,20,28,14,3,1,5,15,83,FALSE,2018-12-09,Delaware,A
