player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
Z. Watson,F,18,2,5,0,2,0,0,0,1,1,1,0,0,1,3,4,TRUE,2018-11-23,Elon,N
M. Dijkstra,C,20,1,3,0,1,4,4,2,3,5,1,0,0,0,1,6,TRUE,2018-11-23,Elon,N
D. Elkaz,G,23,4,6,3,4,0,0,1,2,3,1,1,0,0,4,11,TRUE,2018-11-23,Elon,N
J. Gilliam,G,32,4,11,3,6,6,9,2,4,6,3,0,0,1,3,17,TRUE,2018-11-23,Elon,N
D. Martin,G,32,3,8,0,2,2,3,0,6,6,2,2,0,2,2,8,TRUE,2018-11-23,Elon,N
A. Kennedy,F,15,3,3,2,2,3,4,0,6,6,0,0,0,1,2,11,FALSE,2018-11-23,Elon,N
C. McRae,C,18,2,2,0,0,2,3,1,4,5,1,0,0,2,1,6,FALSE,2018-11-23,Elon,N
D. Pickett,G,24,3,4,2,3,0,0,0,1,1,2,1,0,1,1,8,FALSE,2018-11-23,Elon,N
E. Rwahwire,G,9,2,4,0,2,0,0,0,2,2,1,0,0,0,0,4,FALSE,2018-11-23,Elon,N
D. McDonald,G,9,0,1,0,1,2,2,0,0,0,0,1,0,0,1,2,FALSE,2018-11-23,Elon,N
TEAM,NA,NA,24,47,10,23,19,25,6,30,36,12,5,0,11,18,77,FALSE,2018-11-23,Elon,N
