player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
B. Boatwright,F,36,8,18,4,11,2,3,3,8,11,4,0,1,2,2,22,TRUE,2019-03-13,Arizona,N
N. Rakocevic,F,23,1,5,0,0,4,6,0,2,2,0,1,1,0,4,6,TRUE,2019-03-13,Arizona,N
J. Mathews,G,26,3,9,1,5,2,2,0,3,3,2,1,0,1,4,9,TRUE,2019-03-13,Arizona,N
S. Aaron,G,30,5,6,0,0,1,1,0,3,3,1,0,1,0,2,11,TRUE,2019-03-13,Arizona,N
E. Weaver,G,22,3,7,2,4,0,0,1,1,2,1,1,0,1,1,8,TRUE,2019-03-13,Arizona,N
J. Brooks,F,8,0,0,0,0,0,0,0,2,2,0,0,1,0,2,0,FALSE,2019-03-13,Arizona,N
V. Uyaelunmo,C,11,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,FALSE,2019-03-13,Arizona,N
D. Thornton,G,23,6,9,0,0,0,0,0,2,2,2,3,0,2,2,12,FALSE,2019-03-13,Arizona,N
K. Porter Jr.,G,21,3,6,1,2,2,5,1,3,4,0,0,1,2,2,9,FALSE,2019-03-13,Arizona,N
TEAM,NA,NA,29,60,8,22,12,19,6,24,30,10,6,5,8,19,78,FALSE,2019-03-13,Arizona,N
