player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. Jones III,C,9,0,3,0,0,0,0,1,2,3,0,0,1,0,3,0,TRUE,2020-02-28,Georgia Southern,H
J. Roberts,G,28,7,10,5,8,2,2,0,1,1,4,1,0,2,4,21,TRUE,2020-02-28,Georgia Southern,H
D. Wilson,G,29,3,10,0,4,5,6,0,3,3,3,2,0,2,4,11,TRUE,2020-02-28,Georgia Southern,H
K. Williams,G,36,4,14,2,6,5,6,0,5,5,2,4,1,3,4,15,TRUE,2020-02-28,Georgia Southern,H
C. Allen,G,20,2,9,0,5,0,0,0,1,1,0,0,0,3,2,4,TRUE,2020-02-28,Georgia Southern,H
K. Ivery,F,7,0,1,0,1,0,0,0,3,3,0,0,0,1,4,0,FALSE,2020-02-28,Georgia Southern,H
J. Linder,F,18,2,2,0,0,0,0,1,3,4,3,1,0,1,2,4,FALSE,2020-02-28,Georgia Southern,H
J. Thomas,F,23,1,5,0,0,2,2,1,5,6,0,0,1,2,2,4,FALSE,2020-02-28,Georgia Southern,H
N. Phillips,G,30,4,12,3,8,0,0,4,3,7,0,2,0,4,3,11,FALSE,2020-02-28,Georgia Southern,H
TEAM,NA,NA,23,66,10,32,14,16,8,26,34,12,10,3,18,28,70,FALSE,2020-02-28,Georgia Southern,H
