player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. McKinnis,F,35,3,9,0,0,1,2,5,8,13,0,2,3,3,3,7,TRUE,2020-02-03,Arkansas-Pine Bluff,A
R. Griffin,G,29,5,10,0,0,3,5,2,3,5,1,0,0,3,4,13,TRUE,2020-02-03,Arkansas-Pine Bluff,A
T. Jarrett,G,30,5,18,1,5,4,8,1,1,2,0,2,0,3,0,15,TRUE,2020-02-03,Arkansas-Pine Bluff,A
V. Wallis,G,29,1,3,0,1,7,7,0,4,4,0,0,1,1,0,9,TRUE,2020-02-03,Arkansas-Pine Bluff,A
J. James,G,28,1,2,0,0,0,0,0,1,1,1,0,0,2,3,2,TRUE,2020-02-03,Arkansas-Pine Bluff,A
K. Spencer,F,11,0,1,0,0,1,2,0,3,3,1,0,0,0,2,1,FALSE,2020-02-03,Arkansas-Pine Bluff,A
M. Daniels,G,4,0,2,0,1,0,0,0,1,1,0,0,0,0,1,0,FALSE,2020-02-03,Arkansas-Pine Bluff,A
K. Lewis,G,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,FALSE,2020-02-03,Arkansas-Pine Bluff,A
C. McClelland,G,3,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,FALSE,2020-02-03,Arkansas-Pine Bluff,A
D. Ross,G,25,0,2,0,0,0,0,0,0,0,0,3,0,0,2,0,FALSE,2020-02-03,Arkansas-Pine Bluff,A
L. Howard,G,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,2020-02-03,Arkansas-Pine Bluff,A
TEAM,NA,NA,16,49,1,8,16,24,9,21,30,4,7,4,13,17,49,FALSE,2020-02-03,Arkansas-Pine Bluff,A
