player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
J. Reyes,F,20,2,4,0,0,0,0,2,5,7,1,0,1,1,1,4,TRUE,2020-02-25,Wyoming,A
R. Robinson,F,21,2,3,0,0,0,0,1,7,8,1,1,0,1,1,4,TRUE,2020-02-25,Wyoming,A
L. Drew,G,30,1,7,0,2,5,5,1,6,7,1,1,1,3,1,7,TRUE,2020-02-25,Wyoming,A
J. Johnson,G,36,6,12,1,4,0,0,0,3,3,1,0,0,2,1,13,TRUE,2020-02-25,Wyoming,A
J. Harris,G,27,9,18,3,6,2,2,2,5,7,1,2,0,3,4,23,TRUE,2020-02-25,Wyoming,A
K.J. Hymes,F,6,1,2,0,0,0,0,0,0,0,1,0,0,2,4,2,FALSE,2020-02-25,Wyoming,A
Z. Meeks,F,12,2,4,1,2,0,1,1,3,4,0,0,0,2,0,5,FALSE,2020-02-25,Wyoming,A
K. Milling,G,21,3,5,1,2,0,0,1,2,3,1,1,0,1,1,7,FALSE,2020-02-25,Wyoming,A
N. Zouzoua,G,27,3,9,2,6,0,1,1,4,5,4,2,0,3,1,8,FALSE,2020-02-25,Wyoming,A
TEAM,NA,NA,29,64,8,22,7,9,10,35,45,11,7,2,18,14,73,FALSE,2020-02-25,Wyoming,A
