player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
N. Kratholm,F,26,5,8,0,0,0,1,1,2,3,1,0,0,1,2,10,TRUE,2019-12-18,St. Bonaventure,A
J. Roberts,G,26,3,8,3,7,0,0,0,1,1,0,0,0,0,0,9,TRUE,2019-12-18,St. Bonaventure,A
R. Solomon,G,24,2,6,0,3,2,2,0,1,1,1,0,0,3,3,6,TRUE,2019-12-18,St. Bonaventure,A
M. Hammond,G,31,5,14,2,6,9,9,1,1,2,2,2,0,1,1,21,TRUE,2019-12-18,St. Bonaventure,A
S. Levnaic,G,24,0,1,0,1,2,2,0,1,1,1,1,0,0,2,2,TRUE,2019-12-18,St. Bonaventure,A
G. Kuakumensah,F,14,3,7,2,4,0,0,0,3,3,0,1,1,1,3,8,FALSE,2019-12-18,St. Bonaventure,A
D. Thomas,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2019-12-18,St. Bonaventure,A
N. MacDonald,G,15,2,3,1,2,3,3,0,0,0,0,1,0,0,1,8,FALSE,2019-12-18,St. Bonaventure,A
S. Brown,G,30,1,3,0,0,4,4,0,9,9,9,0,0,0,1,6,FALSE,2019-12-18,St. Bonaventure,A
J. Towns,G,8,0,1,0,1,0,0,0,0,0,0,0,0,3,5,0,FALSE,2019-12-18,St. Bonaventure,A
TEAM,NA,NA,21,51,8,24,20,21,2,20,22,14,5,1,9,18,70,FALSE,2019-12-18,St. Bonaventure,A
