player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
A. Falzon,F,33,8,12,4,7,4,5,0,6,6,0,2,0,2,2,24,TRUE,2020-02-23,Monmouth,A
K. Marfo,F,22,1,3,0,0,7,10,8,5,13,2,0,0,4,4,9,TRUE,2020-02-23,Monmouth,A
J. Rigoni,F,16,0,4,0,4,0,0,0,2,2,0,0,0,1,0,0,TRUE,2020-02-23,Monmouth,A
T. Williams,G,33,2,9,1,6,2,2,0,4,4,5,1,0,2,3,7,TRUE,2020-02-23,Monmouth,A
R. Kelly,G,33,7,12,6,10,0,0,1,2,3,4,0,0,2,4,20,TRUE,2020-02-23,Monmouth,A
B. McGuire,F,16,0,0,0,0,2,2,1,2,3,3,1,0,2,4,2,FALSE,2020-02-23,Monmouth,A
N. Davis,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2020-02-23,Monmouth,A
S. Pinkney,C,17,2,2,0,0,1,5,2,3,5,0,0,4,1,1,5,FALSE,2020-02-23,Monmouth,A
T. Pickron,G,16,1,8,0,4,1,1,0,1,1,1,0,0,1,1,3,FALSE,2020-02-23,Monmouth,A
M. Balanc,G,13,3,6,2,2,0,0,0,1,1,0,0,0,2,2,8,FALSE,2020-02-23,Monmouth,A
TEAM,NA,NA,24,56,13,33,17,25,13,28,41,15,4,4,17,21,78,FALSE,2020-02-23,Monmouth,A
