player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
P. Diop,F,30,4,9,0,1,8,12,2,3,5,1,0,0,2,1,16,TRUE,2020-01-11,Nicholls,H
T. Brewer,F,32,3,14,1,6,1,2,2,4,6,1,1,0,4,3,8,TRUE,2020-01-11,Nicholls,H
B. Smith,G,34,3,6,2,4,2,2,1,2,3,1,2,0,4,1,10,TRUE,2020-01-11,Nicholls,H
L. Butler,G,12,0,4,0,1,0,0,0,0,0,0,0,0,0,2,0,TRUE,2020-01-11,Nicholls,H
V. Julien,G,36,4,6,1,1,5,7,0,2,2,3,1,0,4,3,14,TRUE,2020-01-11,Nicholls,H
N. Caldwell,F,11,1,4,0,2,0,0,0,1,1,0,1,0,0,2,2,FALSE,2020-01-11,Nicholls,H
M. Starwood,F,10,2,3,0,0,1,1,1,1,2,0,0,0,0,0,5,FALSE,2020-01-11,Nicholls,H
B. Gonzalez,F,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,FALSE,2020-01-11,Nicholls,H
I. Kirby,G,19,0,2,0,1,2,2,0,0,0,2,4,0,4,4,2,FALSE,2020-01-11,Nicholls,H
M. Romanov,G,15,0,1,0,1,1,2,0,2,2,1,1,0,0,1,1,FALSE,2020-01-11,Nicholls,H
TEAM,NA,NA,17,49,4,17,20,28,7,20,27,9,10,0,18,17,58,FALSE,2020-01-11,Nicholls,H
