player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
T. Hagedorn,F,34,7,13,3,6,9,10,0,6,6,5,0,2,1,3,26,TRUE,2020-01-05,Denver,H
C. Kelley,G,31,4,7,4,6,4,4,0,3,3,1,0,0,1,4,16,TRUE,2020-01-05,Denver,H
T. Simpson,G,37,3,10,1,6,0,1,0,2,2,3,1,0,0,5,7,TRUE,2020-01-05,Denver,H
T. Peterson,G,34,5,5,1,1,6,9,1,3,4,1,0,0,1,4,17,TRUE,2020-01-05,Denver,H
S. Umude,G,28,4,12,1,5,0,0,0,2,2,0,1,1,0,0,9,TRUE,2020-01-05,Denver,H
S. Jovic,F,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,FALSE,2020-01-05,Denver,H
M. Johns,F,10,0,1,0,1,0,0,1,1,2,0,0,0,0,3,0,FALSE,2020-01-05,Denver,H
T. Chisom,G,6,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,FALSE,2020-01-05,Denver,H
K. Perrott-Hunt,G,5,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,FALSE,2020-01-05,Denver,H
B. Armstrong,G,12,1,5,1,3,0,0,0,2,2,0,1,1,1,0,3,FALSE,2020-01-05,Denver,H
TEAM,NA,NA,24,55,11,29,21,26,3,23,26,10,3,4,5,19,80,FALSE,2020-01-05,Denver,H
