player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
D. Woods,F,24,2,7,0,1,3,3,3,8,11,1,0,1,3,1,7,TRUE,2019-11-13,Bryant,H
Q. Taylor,G,26,6,10,1,2,1,2,2,2,4,1,1,0,0,4,14,TRUE,2019-11-13,Bryant,H
D. Watson,G,20,0,6,0,3,0,0,0,2,2,1,0,0,0,0,0,TRUE,2019-11-13,Bryant,H
D. Edert,G,22,2,6,2,4,0,0,0,1,1,0,0,0,1,0,6,TRUE,2019-11-13,Bryant,H
A. Estrada,G,28,2,10,1,5,1,1,0,2,2,1,1,0,4,0,6,TRUE,2019-11-13,Bryant,H
F. Drame,F,24,0,5,0,1,3,6,0,1,1,1,1,1,1,4,3,FALSE,2019-11-13,Bryant,H
H. Drame,F,10,1,6,0,1,0,0,2,2,4,0,0,0,1,2,2,FALSE,2019-11-13,Bryant,H
M. Majak,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,2019-11-13,Bryant,H
M. Lee,G,12,0,2,0,0,0,0,0,0,0,0,2,0,0,3,0,FALSE,2019-11-13,Bryant,H
D. Banks III,G,17,0,4,0,2,0,1,0,0,0,1,1,0,1,0,0,FALSE,2019-11-13,Bryant,H
N. Bostick,G,15,3,7,0,1,0,0,0,1,1,1,0,0,0,2,6,FALSE,2019-11-13,Bryant,H
TEAM,NA,NA,16,63,4,20,8,13,9,22,31,7,6,2,11,17,44,FALSE,2019-11-13,Bryant,H
