player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
S. Timmins,F,18,2,5,0,1,0,0,2,4,6,2,1,0,1,1,4,TRUE,2020-02-20,Stanford,H
I. Stewart,F,33,4,10,0,2,6,6,0,5,5,3,0,4,5,1,14,TRUE,2020-02-20,Stanford,H
N. Carter,G,32,4,10,1,2,1,4,1,8,9,2,1,2,1,2,10,TRUE,2020-02-20,Stanford,H
M. Tsohonis,G,35,4,9,0,2,3,3,3,0,3,2,1,0,2,5,11,TRUE,2020-02-20,Stanford,H
J. Bey,G,36,4,11,0,4,1,1,0,8,8,1,0,1,0,1,9,TRUE,2020-02-20,Stanford,H
J. McDaniels,F,16,2,7,2,4,0,0,0,1,1,0,0,0,2,5,6,FALSE,2020-02-20,Stanford,H
R. Battle,F,22,2,9,1,8,5,7,1,2,3,0,2,0,0,0,10,FALSE,2020-02-20,Stanford,H
B. Penn-Johnson,C,8,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,FALSE,2020-02-20,Stanford,H
E. Hardy,G,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,2020-02-20,Stanford,H
TEAM,NA,NA,22,62,4,24,16,21,8,29,37,10,5,8,12,17,64,FALSE,2020-02-20,Stanford,H
