player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
A. Ford,F,26,7,11,2,4,0,0,1,1,2,1,1,1,0,3,16,TRUE,2019-11-13,McNeese,H
N. Reuvers,F,21,4,9,0,2,2,3,2,2,4,2,1,1,1,4,10,TRUE,2019-11-13,McNeese,H
B. Pritzl,G,21,4,9,2,6,3,4,2,1,3,2,0,1,0,2,13,TRUE,2019-11-13,McNeese,H
D. Trice,G,27,3,9,2,7,0,0,0,3,3,3,1,0,1,0,8,TRUE,2019-11-13,McNeese,H
B. Davison,G,33,7,8,3,4,7,7,0,3,3,2,4,0,3,0,24,TRUE,2019-11-13,McNeese,H
T. Wahl,F,26,1,2,0,1,1,2,1,2,3,3,2,0,1,2,3,FALSE,2019-11-13,McNeese,H
C. Cuevas,F,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,2019-11-13,McNeese,H
S. Qawi,F,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,2019-11-13,McNeese,H
J. Hedstrom,C,5,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,FALSE,2019-11-13,McNeese,H
M. Ballard,G,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,FALSE,2019-11-13,McNeese,H
T. Anderson,G,13,0,0,0,0,0,0,0,2,2,4,1,0,0,1,0,FALSE,2019-11-13,McNeese,H
W. McGrory,G,24,3,6,1,3,2,2,0,2,2,2,0,0,1,1,9,FALSE,2019-11-13,McNeese,H
C. Higginbottom,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2019-11-13,McNeese,H
TEAM,NA,NA,29,55,10,28,15,18,7,21,28,19,10,3,9,15,83,FALSE,2019-11-13,McNeese,H
