number,name,position,height,weight,class,hometown
0,Dimon Carrigan,F,"6' 9""",215 lbs,JR,"Boston, MA"
1,Isaiah Banks,G,"6' 5""",180 lbs,JR,"Conyers, GA"
2,Blake Furcron,G,"6' 4""",175 lbs,JR,"Romulus, MI"
3,Trejon Jacob,G,"6' 5""",175 lbs,SR,"Raleigh, NC"
4,Eric Lovett,G,"6' 5""",200 lbs,JR,"Jonesboro, GA"
5,Antonio Daye Jr.,G,"6' 1""",188 lbs,SO,"Durham, NC"
10,Sedee Keita,F,"6' 9""",235 lbs,JR,"Philadelphia, PA"
11,Tevin Brewer,G,"5' 8""",160 lbs,JR,"Fort Smith, AR"
12,Dante Wilcox,G,"6' 6""",220 lbs,FR,"West Palm Beach, FL"
15,James Ametepe,F,"6' 5""",210 lbs,SO,"Accra, Ghana"
21,Jonathan Nunez,G,"5' 11""",180 lbs,FR,"Miami, FL"
23,Kenny Isnord,F,"6' 9""",220 lbs,FR,"Nassau, Bahamas"
34,Osasumwen Osaghae,F,"6' 9""",250 lbs,SR,"Miami, FL"
50,Devon Andrews,F,"6' 6""",190 lbs,SR,"Lorain, OH"
55,Cameron Corcoran,G,"6' 1""",170 lbs,SO,"Orlando, FL"
