game_id,date,opponent,location,team_score,opp_score,record
401174424,2019-11-08,Florida A&M,H,65,52,1-0 (0-0)
401174425,2019-11-10,South Dakota,H,75,81,1-1 (0-0)
401174426,2019-11-11,Pacific,H,72,67,2-1 (0-0)
401166429,2019-11-15,Portland State,H,83,75,3-1 (0-0)
401166077,2019-11-18,Illinois,A,53,66,3-2 (0-0)
401174428,2019-11-24,New Orleans,H,79,71,4-2 (0-0)
401174429,2019-11-29,San Francisco,H,85,75,5-2 (0-0)
401174430,2019-12-01,Hawaii Pacific,H,58,41,6-2 (0-0)
401170612,2019-12-07,Oregon,A,64,89,6-3 (0-0)
401174431,2019-12-15,Samford,H,94,73,7-3 (0-0)
401170076,2019-12-22,UTEP,H,67,63,8-3 (0-0)
401182618,2019-12-23,Washington,N,61,72,8-4 (0-0)
401182622,2019-12-25,Georgia Tech,H,53,70,8-5 (0-0)
401170915,2019-12-29,Maine,H,91,51,9-5 (0-0)
401171595,2020-01-09,CSU Fullerton,A,75,69,10-5 (1-0)
401171663,2020-01-11,UC Irvine,A,60,74,10-6 (1-1)
401171570,2020-01-17,Cal Poly,H,65,61,11-6 (2-1)
401171681,2020-01-19,UC Santa Barbara,H,70,63,12-6 (3-1)
401171642,2020-01-25,UC Davis,H,76,75,13-6 (4-1)
401174421,2020-02-02,CSU Northridge,H,80,75,14-6 (5-1)
401171685,2020-02-06,UC Santa Barbara,A,66,76,14-7 (5-2)
401171576,2020-02-08,Cal Poly,A,75,79,14-8 (5-3)
401171622,2020-02-12,Long Beach State,H,49,50,14-9 (5-4)
401171667,2020-02-15,UC Irvine,H,63,70,14-10 (5-5)
401174432,2020-02-20,UC Riverside,A,56,55,15-10 (6-5)
401171625,2020-02-22,Long Beach State,A,60,64,15-11 (6-6)
401171605,2020-02-27,CSU Fullerton,H,70,59,16-11 (7-6)
401174433,2020-02-29,UC Riverside,H,43,49,16-12 (7-7)
401171648,2020-03-05,UC Davis,A,67,65,17-12 (8-7)
401174423,2020-03-07,CSU Northridge,A,82,86,17-13 (8-8)
401211113,2020-03-12,UC Davis,N,NA,NA,
