player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
T. Ceaser,F,16,2,4,0,1,0,0,1,1,2,0,0,2,3,2,4,TRUE,2021-02-21,Georgia Southern,H
K. Williamson,G,18,1,7,1,3,0,0,0,2,2,2,1,0,0,1,3,TRUE,2021-02-21,Georgia Southern,H
G. Green,G,28,4,10,2,6,0,0,3,2,5,0,0,0,2,2,10,TRUE,2021-02-21,Georgia Southern,H
D. Jones,G,38,5,11,1,5,9,10,1,10,11,4,3,0,2,1,20,TRUE,2021-02-21,Georgia Southern,H
E. Dibba,G,34,4,7,0,2,4,4,2,8,10,2,0,1,6,2,12,TRUE,2021-02-21,Georgia Southern,H
A. Harvey,F,6,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,FALSE,2021-02-21,Georgia Southern,H
H. Kitenge,F,4,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,FALSE,2021-02-21,Georgia Southern,H
D. Stephens,F,8,0,1,0,1,0,0,2,1,3,0,0,0,0,3,0,FALSE,2021-02-21,Georgia Southern,H
E. Mostafa,C,22,2,5,0,0,6,10,2,4,6,1,1,2,2,2,10,FALSE,2021-02-21,Georgia Southern,H
D. Tipler,G,23,2,10,1,7,1,2,1,4,5,2,4,0,2,1,6,FALSE,2021-02-21,Georgia Southern,H
M. LeGania,G,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2021-02-21,Georgia Southern,H
TEAM,NA,NA,20,57,5,25,20,26,14,35,49,11,9,5,18,15,65,FALSE,2021-02-21,Georgia Southern,H
