player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
D. Johnson,F,21,4,6,0,0,0,0,2,2,4,1,0,2,1,0,8,TRUE,2021-01-08,Northern Kentucky,H
D. Hodge,G,16,1,7,1,5,0,0,0,2,2,1,0,1,0,3,3,TRUE,2021-01-08,Northern Kentucky,H
T. Gomillion,G,35,2,8,0,1,1,2,4,6,10,2,2,0,0,3,5,TRUE,2021-01-08,Northern Kentucky,H
C. Beaudion,G,31,3,5,1,1,1,2,0,2,2,2,0,0,2,2,8,TRUE,2021-01-08,Northern Kentucky,H
T. Patton,G,29,4,9,2,5,4,6,0,8,8,3,0,0,1,2,14,TRUE,2021-01-08,Northern Kentucky,H
C. Greene,F,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2021-01-08,Northern Kentucky,H
J. Woodrich,F,19,3,10,3,9,0,0,1,3,4,0,0,0,0,2,9,FALSE,2021-01-08,Northern Kentucky,H
A. Eichelberger,F,17,2,4,0,0,3,5,2,4,6,2,0,0,4,2,7,FALSE,2021-01-08,Northern Kentucky,H
Y. Hill,G,7,1,3,0,0,0,0,0,1,1,1,0,0,0,0,2,FALSE,2021-01-08,Northern Kentucky,H
D. Terry,G,11,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,FALSE,2021-01-08,Northern Kentucky,H
A. Oglesby,G,12,1,3,0,2,0,0,0,0,0,1,2,0,0,1,2,FALSE,2021-01-08,Northern Kentucky,H
A. Eskandari,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2021-01-08,Northern Kentucky,H
J. Sanchez,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2021-01-08,Northern Kentucky,H
TEAM,NA,NA,21,55,7,23,9,15,11,30,41,13,4,3,9,16,58,FALSE,2021-01-08,Northern Kentucky,H
