player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
K. Records,F,20,2,4,0,0,2,3,2,1,3,1,0,1,0,3,6,TRUE,2021-02-14,Army,A
R. Moffatt,G,19,2,4,0,1,0,0,1,2,3,0,3,0,1,2,4,TRUE,2021-02-14,Army,A
T. Richardson,G,31,7,11,2,5,0,1,0,8,8,1,0,0,1,0,16,TRUE,2021-02-14,Army,A
J. Burns,G,31,8,17,0,2,6,6,0,3,3,4,2,1,2,2,22,TRUE,2021-02-14,Army,A
N. Cummings,G,31,2,8,2,6,3,4,2,1,3,1,2,0,3,1,9,TRUE,2021-02-14,Army,A
S. Thomson,F,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,2021-02-14,Army,A
J. Woodward,C,20,5,6,0,0,0,2,0,4,4,4,0,3,1,3,10,FALSE,2021-02-14,Army,A
D. Maynard,G,6,0,2,0,1,0,0,0,0,0,0,1,0,1,1,0,FALSE,2021-02-14,Army,A
J. Ferguson,G,26,4,7,3,5,7,8,2,7,9,2,1,1,0,0,18,FALSE,2021-02-14,Army,A
O. Lynch-Daniels,G,11,2,4,0,2,1,1,0,2,2,1,0,0,1,3,5,FALSE,2021-02-14,Army,A
TEAM,NA,NA,33,64,7,22,19,25,9,29,38,14,9,6,10,15,92,FALSE,2021-02-14,Army,A
