player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
A. Uguak,F,17,3,4,1,1,2,2,0,3,3,1,1,0,1,4,9,TRUE,2021-01-11,Indiana State,A
C. Krutwig,C,33,7,11,0,0,2,4,2,6,8,2,1,1,3,2,16,TRUE,2021-01-11,Indiana State,A
B. Norris,G,29,1,6,1,3,0,0,0,3,3,3,0,0,1,2,3,TRUE,2021-01-11,Indiana State,A
T. Hall,G,24,2,6,2,6,0,0,0,5,5,0,0,0,0,2,6,TRUE,2021-01-11,Indiana State,A
L. Williamson,G,33,2,7,0,3,4,4,1,3,4,3,1,1,1,2,8,TRUE,2021-01-11,Indiana State,A
T. Welch,F,12,2,3,0,0,0,1,1,0,1,0,0,0,2,1,4,FALSE,2021-01-11,Indiana State,A
K. Clemons,G,27,2,6,2,5,2,4,1,1,2,1,0,0,0,1,8,FALSE,2021-01-11,Indiana State,A
B. Hebb,G,8,0,0,0,0,2,2,0,1,1,0,1,0,1,1,2,FALSE,2021-01-11,Indiana State,A
M. Kennedy,G,17,1,4,0,3,0,0,0,1,1,1,1,0,1,2,2,FALSE,2021-01-11,Indiana State,A
C. Kaifes,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,2021-01-11,Indiana State,A
TEAM,NA,NA,20,47,6,21,12,17,8,24,32,11,5,2,10,17,58,FALSE,2021-01-11,Indiana State,A
