player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
A. Nelson,F,26,2,3,0,0,0,0,2,2,4,0,0,0,1,2,4,TRUE,2020-12-08,Dayton,A
A. Eleeda,F,17,1,2,1,2,0,0,1,3,4,1,1,0,0,0,3,TRUE,2020-12-08,Dayton,A
B. Langdon,G,37,4,10,1,6,2,4,3,2,5,4,2,0,3,0,11,TRUE,2020-12-08,Dayton,A
T. Faulkner,G,31,4,16,2,9,5,10,5,0,5,2,2,0,3,4,15,TRUE,2020-12-08,Dayton,A
P. Djoko,G,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,TRUE,2020-12-08,Dayton,A
D. Böhm,F,24,3,7,0,3,2,2,0,0,0,0,1,0,3,5,8,FALSE,2020-12-08,Dayton,A
J. Harge,F,9,0,2,0,0,0,0,1,0,1,1,0,0,1,3,0,FALSE,2020-12-08,Dayton,A
M. Warrick,G,19,2,4,1,2,1,2,0,2,2,0,0,0,1,1,6,FALSE,2020-12-08,Dayton,A
T. Robinson,G,33,5,12,0,2,3,5,1,4,5,1,2,0,1,2,13,FALSE,2020-12-08,Dayton,A
TEAM,NA,NA,21,56,5,24,13,23,15,15,30,9,8,0,15,18,60,FALSE,2020-12-08,Dayton,A
